name,repeat,returncode,wall_s,generated,max,decode_s,gen_tps,ctx_end,stop,slots,layout,path,decode2,two_dispatch,decode_io,env,args,log
baseline_slot32,0,0,49.704,600,600,44.782114,13.398,1906,max_tokens,32,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=32,,,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_baseline_slot32.log
slot16,0,0,59.626,600,600,54.816387,10.946,1906,max_tokens,16,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=16,,--moe-slot-bank 16,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_slot16.log
slot24,0,0,53.712,600,600,48.802511,12.294,1906,max_tokens,24,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=24,,--moe-slot-bank 24,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_slot24.log
slot48,0,0,47.042,600,600,41.262196,14.541,1906,max_tokens,48,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=48,,--moe-slot-bank 48,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_slot48.log
slot64,0,0,46.089,600,600,39.618299,15.145,1906,max_tokens,64,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=64,,--moe-slot-bank 64,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_slot64.log
ssd16,0,0,51.708,600,600,46.527931,12.895,1906,max_tokens,29,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=29,,--ssd-cache 16GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd16.log
ssd24,0,0,47.732,600,600,42.198402,14.219,1906,max_tokens,44,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=44,,--ssd-cache 24GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd24.log
ssd32,0,0,46.165,600,600,40.068360,14.974,1906,max_tokens,59,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=59,,--ssd-cache 32GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd32.log
ssd48,0,0,127.137,600,600,118.242091,5.074,1906,max_tokens,89,per-slot expert buffers,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,0,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=per-slot-auto slots=89,,--ssd-cache 48GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd48.log
ssd64,0,0,154.929,600,600,143.544317,4.180,1906,max_tokens,119,per-slot expert buffers,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,0,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=per-slot-auto slots=119,,--ssd-cache 64GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd64.log
ssd_auto,0,0,51.005,600,600,45.128878,13.295,1906,max_tokens,30,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=30,,--ssd-cache auto,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd_auto.log
ssd48_no_auto_per_slot,0,0,43.683,600,600,36.481618,16.447,1906,max_tokens,89,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=89,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 48GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd48_no_auto_per_slot.log
ssd64_no_auto_per_slot,0,0,44.082,600,600,35.103478,17.092,1906,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_ssd64_no_auto_per_slot.log
mixed_slots6_grouped,0,0,86.864,600,600,79.358837,7.561,1906,max_tokens,32,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,0,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=32,DS4_FLASH_MOE_MIXED_SLOTS6_GROUPED=1,,bench-results/ds4-agent-m5max-coarse-20260616-202017/00_mixed_slots6_grouped.log
