name,repeat,returncode,wall_s,generated,max,decode_s,gen_tps,ctx_end,stop,slots,layout,path,decode2,two_dispatch,decode_io,env,args,log
ssd64_no_auto,0,0,87.889,1500,1500,80.451192,18.645,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto.log
ssd64_no_auto_slotwise,0,0,88.524,1500,1500,80.923623,18.536,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_slotwise.log
ssd64_no_auto_baked_slot,0,0,87.797,1500,1500,80.337140,18.671,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_BAKED_SLOT_DECODE=1 DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_baked_slot.log
ssd64_no_auto_slotwise_io8,0,0,87.967,1500,1500,80.513587,18.630,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=8 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB --moe-cache-io-split 8,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_slotwise_io8.log
ssd64_no_auto_slotwise_io16,0,0,88.282,1500,1500,80.724798,18.582,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=16 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB --moe-cache-io-split 16,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_slotwise_io16.log
ssd64_no_auto_slotwise_prefetch,0,0,87.926,1500,1500,80.292392,18.682,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DECODE_PREFETCH=1 DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_slotwise_prefetch.log
ssd64_no_auto_slotwise_shared_down0,0,0,87.833,1500,1500,80.238721,18.694,2806,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=off reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DECODE_PREFETCH_SHARED_DOWN=0 DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd64_no_auto_slotwise_shared_down0.log
ssd72_mixed_forced,0,0,88.538,1500,1500,79.362986,18.900,2806,max_tokens,134,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=134,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_DISABLE_DIRECT_MMAP_AUTO=1,--ssd-cache 72GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd72_mixed_forced.log
ssd72_mixed_forced_slotwise,0,0,86.811,1500,1500,78.702843,19.059,2806,max_tokens,134,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=134,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_DISABLE_DIRECT_MMAP_AUTO=1 DS4_FLASH_MOE_SLOTWISE_DECODE=1,--ssd-cache 72GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd72_mixed_forced_slotwise.log
ssd80_mixed_forced,0,-15,264.411,,,,,,,149,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=149,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1 DS4_FLASH_MOE_DISABLE_DIRECT_MMAP_AUTO=1,--ssd-cache 80GB,bench-results/ds4-agent-m5max-final-20260616-210327/00_ssd80_mixed_forced.log
