name,repeat,returncode,wall_s,generated,max,decode_s,gen_tps,ctx_end,stop,slots,layout,path,decode2,two_dispatch,decode_io,env,args,log
ssd48_no_auto,0,0,67.110,1000,1000,59.823905,16.716,2306,max_tokens,89,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=89,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 48GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd48_no_auto.log
ssd56_no_auto,0,0,65.680,1000,1000,58.320436,17.147,2306,max_tokens,104,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=104,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 56GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd56_no_auto.log
ssd64_no_auto,0,0,65.887,1000,1000,57.230761,17.473,2306,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto.log
ssd72_no_auto,0,0,140.270,1000,1000,129.863036,7.700,2306,max_tokens,,"direct read-only sidecar mmap (true expert id == slot id; active slots6 no-copy views, no parent layer MTLBuffers)",MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,0,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=256,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 72GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd72_no_auto.log
ssd80_no_auto,0,0,128.098,1000,1000,122.525706,8.162,2306,max_tokens,,"direct read-only sidecar mmap (true expert id == slot id; active slots6 no-copy views, no parent layer MTLBuffers)",MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,0,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=256,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 80GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd80_no_auto.log
ssd64_no_auto_io2,0,-15,353.880,,,,,,,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=2 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB --moe-cache-io-split 2,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto_io2.log
ssd64_no_auto_io8,0,0,63.482,1000,1000,53.977552,18.526,2306,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=8 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB --moe-cache-io-split 8,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto_io8.log
ssd64_no_auto_io16,0,0,61.405,1000,1000,53.803199,18.586,2306,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=16 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB --moe-cache-io-split 16,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto_io16.log
ssd64_no_auto_prefetch,0,0,61.483,1000,1000,53.884813,18.558,2306,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=off scratch-prefetch=off max-loads=0 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DECODE_PREFETCH=1 DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto_prefetch.log
ssd64_no_auto_prefetch_max2,0,0,62.725,1000,1000,55.054404,18.164,2306,max_tokens,119,mixed expert-major,MPP 4.1 native MXFP4 (plane-sidecar/no-repack),1,1,io-split=4 router-prefetch=on scratch-prefetch=on max-loads=2 layer-stride=1 miss-direct-slot-pread=on prefetch-direct-slot-pread=off did-modify=on shared-down=on reset-after-prefill=off realloc-after-prefill=off resident=slot-bank slots=119,DS4_FLASH_MOE_DECODE_PREFETCH=1 DS4_FLASH_MOE_DECODE_PREFETCH_MAX_LOADS=2 DS4_FLASH_MOE_DISABLE_AUTO_PER_SLOT_BUFFERS=1,--ssd-cache 64GB,bench-results/ds4-agent-m5max-focus-20260616-204050/00_ssd64_no_auto_prefetch_max2.log
