label	budget	path	generation_tps	generated_tokens	decode_s	acceptance_pct	accepted	draft_slots	draft_tps	verify_proposed_tps	verify_accepted_tps	block_ms	draft_ms	verify_ms	overhead_ms	commit_ms	tau	blocks	decode_eq_draft	decode_eq_verify	decode_eq_overhead	decode_eq_block	baseline_decode_ms	unified_backend	unified_active_n	tfwd_decode_calls	tfwd_decode_avg_ms	tfwd_verify_calls	tfwd_verify_avg_ms	tfwd_verify_min_ms	tfwd_verify_max_ms	tfwd_failed_calls	tfwd_n1_avg_ms	tfwd_n2_avg_ms	tfwd_n3_avg_ms	tfwd_n4_avg_ms	tfwd_n5_avg_ms	disp_n	disp_total	disp_attn	disp_kv	disp_comp	disp_index	disp_heads	disp_output_hc	disp_ffn_pre	disp_router	disp_routed_moe	disp_ordered_sum	disp_shared	disp_post_hc	disp_target_hidden	disp_head	disp_topk	disp_read	route_n	route_slots	route_unique	route_reuse	route_dup_pct	route_pair_overlap	route_max_multiplicity	route_unique_min	route_unique_max	route_reuse125_layers	route_reuse150_layers
baseline		bench-results/dspark_phase0_planc_n64_backend_20260628_173006/baseline.err	33.47	64	1.912																																																													
dspark_b2	2	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_b2.err	32.89	64	1.946	87.0	40	46	206.7	47.5	41.3	53.39	9.68	42.11	1.60	1.11	2.74	23	0.32	1.41	0.05	1.79	29.88																																											
dspark_b4	4	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_b4.err	35.09	64	1.824	78.7	48	61	243.3	57.4	45.1	84.06	15.67	66.47	1.92	1.42	4.00	16	0.52	2.22	0.06	2.81	29.88																																											
dspark_b5	5	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_b5.err	34.75	64	1.842	70.0	49	70	249.6	64.6	45.2	93.00	18.70	72.25	2.06	1.61	4.27	15	0.63	2.42	0.07	3.11	29.88																																											
dspark_unified_batch_b2	2	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_batch_b2.err	32.51	64	1.969	83.3	40	48	210.6	111.1	22.2	28.34	9.50	18.01	0.83	0.64	1.40	5	0.32	0.60	0.03	0.95	29.88	batch	2	24	29.985	21	46.488	44.354	56.977		29.985	46.488																																
dspark_unified_batch_b4	4	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_batch_b4.err	35.02	64	1.828	78.7	48	61	239.6	63.4	30.5	72.83	14.90	56.30	1.63	1.17	2.71	7	0.50	1.88	0.05	2.44	29.88	batch	4	16	29.851	14	74.057	72.489	86.646	1	29.851			74.057																														
dspark_unified_batch_b5	5	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_batch_b5.err	34.89	64	1.834	70.0	49	70	244.8	75.3	30.1	77.75	17.87	58.11	1.76	1.25	2.75	8	0.60	1.95	0.06	2.60	29.88	batch	5	15	29.738	12	87.047	73.600	101.448	1	29.738			73.600	88.270																													
dspark_unified_strict_v1_b2	2	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_strict_v1_b2.err	33.31	64	1.922	83.3	40	48	208.2	116.1	23.2	27.66	9.61	17.23	0.83	0.64	1.40	5	0.32	0.58	0.03	0.93	29.88	strict_v1	2	24	29.909	21	44.303	41.960	57.197		29.909	44.303																																
dspark_unified_strict_v1_b4	4	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_strict_v1_b4.err	35.97	64	1.779	78.7	48	61	237.3	66.7	32.0	70.14	15.05	53.54	1.55	1.08	2.71	7	0.50	1.79	0.05	2.35	29.88	strict_v1	4	16	30.002	14	70.105	68.342	84.559	1	30.002			70.105																														
dspark_unified_strict_v1_b5	5	bench-results/dspark_phase0_planc_n64_backend_20260628_173006/dspark_unified_strict_v1_b5.err	35.90	64	1.783	70.0	49	70	246.3	79.3	31.7	74.52	17.76	55.16	1.59	1.09	2.75	8	0.59	1.85	0.05	2.49	29.88	strict_v1	5	15	29.846	12	82.652	69.996	94.839	1	29.846			69.996	83.802																													
