id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_000	0	128	128	31.481159	37.830973	1.201702	76.101	52	8	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_000.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_000.txt
case_001	0	128	128	31.902371	31.807074	0.997013	60.112	77	14	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_001.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_001.txt
case_002	0	128	128	31.726124	37.598866	1.185107	76.623	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_002.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_002.txt
case_003	0	128	128	31.775853	29.872182	0.940091	59.043	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_003.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_003.txt
case_004	0	128	128	31.716211	33.528067	1.057127	68.263	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_004.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_004.txt
case_005	0	128	128	31.787390	36.829350	1.158615	73.913	52	8	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_005.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_005.txt
case_006	0	128	128	31.653074	34.569508	1.092137	67.816	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_006.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_006.txt
case_007	0	128	128	31.912774	33.418760	1.047191	69.091	25	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_007.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_007.txt
case_008	0	128	128	31.825873	30.810217	0.968087	59.375	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_008.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_008.txt
case_009	0	128	128	31.652315	29.856435	0.943262	58.586	69	11	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_009.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_009.txt
case_010	0	128	128	31.852261	33.031380	1.037018	66.854	34	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_010.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_010.txt
case_011	0	128	128	31.773187	44.303765	1.394376	86.395	52	10	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_011.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_011.txt
case_012	0	128	128	31.795420	28.258759	0.888768	55.769	7	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_012.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_012.txt
case_013	0	128	128	31.830716	27.236326	0.855662	56.842	11	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_013.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_013.txt
case_014	0	128	128	31.794425	30.609436	0.962730	61.702	11	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_014.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_014.txt
case_015	0	128	128	31.766311	32.412391	1.020339	67.052	67	11	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_015.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_015.txt
case_016	0	128	128	31.775206	33.083835	1.041184	67.836	7	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_016.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_016.txt
case_017	0	128	128	31.699112	32.603316	1.028525	87.500	42	7	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_017.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_017.txt
case_018	0	128	128	31.776894	29.054802	0.914337	59.444	37	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_018.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_018.txt
case_019	0	128	128	31.514907	30.933894	0.981564	63.102	53	8	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_019.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_019.txt
case_020	0	128	128	31.799954	32.694112	1.028118	64.045	21	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_020.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_020.txt
case_021	0	128	128	31.801653	44.069122	1.385749	86.331	54	11	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_021.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_021.txt
case_022	0	128	128	31.610855	34.776731	1.100152	70.760	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_022.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_022.txt
case_023	0	128	128	31.826767	38.842447	1.220433	79.592	20	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_023.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_023.txt
case_024	0	128	128	31.813296	28.171215	0.885517	58.462	30	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_024.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_024.txt
case_025	0	128	128	31.776792	32.655602	1.027656	67.836	133	22	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_025.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_025.txt
case_026	0	128	128	31.798880	30.489722	0.958830	62.567	15	3	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_026.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_026.txt
case_027	0	128	128	31.783278	31.385388	0.987481	65.217	40	7	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_027.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_027.txt
case_028	0	128	128	31.715614	31.301109	0.986931	63.298	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_028.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_028.txt
case_029	0	128	128	31.788022	35.213282	1.107753	72.727	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_029.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
