id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_000	1	128	128	31.481159	30.178046	0.958607	55.357	489	87	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_000.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_000.txt
case_001	1	128	128	31.902371	30.565909	0.958108	48.387	429	59	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_001.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_001.txt
case_002	1	128	128	31.726124	28.843738	0.909148	51.111	600	96	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_002.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_002.txt
case_003	1	128	128	31.775853	25.490894	0.802210	32.780	605	93	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_003.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_003.txt
case_004	1	128	128	31.716211	30.110831	0.949383	51.397	533	82	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_004.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_004.txt
case_005	1	128	128	31.787390	31.859262	1.002261	56.627	501	80	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_005.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_005.txt
case_006	1	128	128	31.653074	29.441456	0.930129	52.273	579	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_006.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_006.txt
case_007	1	128	128	31.912774	26.128379	0.818744	35.065	652	95	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_007.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_007.txt
case_008	1	128	128	31.825873	27.271922	0.856910	36.771	567	87	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_008.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_008.txt
case_009	1	128	128	31.652315	28.164812	0.889818	46.842	521	85	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_009.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_009.txt
case_010	1	128	128	31.852261	28.286436	0.888051	43.500	392	67	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_010.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_010.txt
