id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_000	24	128	24	128	6.517619749	0.271567490	1	10	37.830973	76.101	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_000.txt
case_001	24	128	24	128	4.169029847	0.173709577	1	16	31.807074	60.112	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_001.txt
case_002	24	128	24	128	13.345526518	0.556063605	0	0	37.598866	76.623	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_002.txt
case_003	24	128	24	128	9.857012606	0.410708859	1	2	29.872182	59.043	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_003.txt
case_004	24	128	24	128	21.656326921	0.902346955	1	2	33.528067	68.263	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_004.txt
case_005	24	128	24	128	9.307555848	0.387814827	1	9	36.829350	73.913	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_005.txt
case_006	24	128	24	128	15.859133278	0.660797220	1	23	34.569508	67.816	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_006.txt
case_007	24	128	24	128	11.025194763	0.459383115	0	0	33.418760	69.091	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_007.txt
case_008	24	128	24	128	14.988320706	0.624513363	1	2	30.810217	59.375	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_008.txt
case_009	24	128	24	128	4.527066789	0.188627783	1	11	29.856435	58.586	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_009.txt
case_010	24	128	24	128	2.195472068	0.091478003	1	19	33.031380	66.854	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_010.txt
case_011	24	128	24	128	5.340770847	0.222532119	1	12	44.303765	86.395	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_011.txt
case_012	24	128	24	128	12.869798493	0.536241604	1	2	28.258759	55.769	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_012.txt
case_013	24	128	24	128	12.319292075	0.513303836	0	0	27.236326	56.842	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_013.txt
case_014	24	128	24	128	15.513861586	0.646410899	0	0	30.609436	61.702	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_014.txt
case_015	24	128	24	128	1.983934232	0.082663926	1	24	32.412391	67.052	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_015.txt
case_016	24	128	24	128	25.810729094	1.075447046	1	1	33.083835	67.836	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_016.txt
case_017	24	128	24	128	5.835193179	0.243133049	0	0	32.603316	87.500	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_017.txt
case_018	24	128	24	128	8.145430024	0.339392918	1	11	29.054802	59.444	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_018.txt
case_019	24	128	24	128	10.727824770	0.446992699	1	14	30.933894	63.102	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_019.txt
case_020	24	128	24	128	25.514902920	1.063120955	1	4	32.694112	64.045	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_020.txt
case_021	24	128	24	128	1.585281688	0.066053404	1	13	44.069122	86.331	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_021.txt
case_022	24	128	24	128	8.803384525	0.366807689	1	3	34.776731	70.760	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_022.txt
case_023	24	128	24	128	6.757652715	0.281568863	0	0	38.842447	79.592	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_023.txt
case_024	24	128	24	128	17.244604119	0.718525172	0	0	28.171215	58.462	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_024.txt
case_025	24	128	24	128	3.011485577	0.125478566	1	14	32.655602	67.836	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_025.txt
case_026	24	128	24	128	23.426356926	0.976098205	1	6	30.489722	62.567	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_026.txt
case_027	24	128	24	128	9.211949916	0.383831246	1	11	31.385388	65.217	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_027.txt
case_028	24	128	24	128	15.484450133	0.645185422	1	8	31.301109	63.298	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_028.txt
case_029	24	128	24	128	7.791471969	0.324644665	1	2	35.213282	72.727	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
case_030	24	128	24	128	5.266496828	0.219437368	0	0	36.226470	72.455	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_030.txt
case_031	24	128	24	128	9.486054151	0.395252256	1	16	37.409694	75.301	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_031.txt
case_032	24	128	24	128	15.738131851	0.655755494	0	0	35.794834	73.494	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_032.txt
case_033	24	128	24	128	5.029570684	0.209565445	0	0	31.317490	63.784	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_033.txt
case_034	24	128	24	128	4.331345458	0.180472727	1	6	38.861244	78.431	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_034.txt
case_035	24	128	24	128	3.449962332	0.143748430	1	1	32.150319	100.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_035.txt
case_036	24	128	24	128	5.947406013	0.247808584	1	3	31.947199	65.169	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_036.txt
case_037	24	128	24	128	10.313811662	0.429742153	0	0	30.281151	61.905	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_037.txt
case_038	24	128	24	128	2.999574883	0.124982287	1	18	28.645260	58.854	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_038.txt
case_039	24	128	24	128	10.765060119	0.448544172	1	7	28.545445	58.602	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_039.txt
case_040	24	128	24	128	12.562282855	0.523428452	0	0	31.653466	63.889	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_040.txt
case_041	24	128	24	128	9.525769823	0.396907076	1	3	35.858189	75.641	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_041.txt
case_042	24	128	24	128	8.045729504	0.335238729	0	0	30.332753	61.340	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_042.txt
case_043	24	128	24	128	1.788589305	0.074524554	1	20	47.888563	93.431	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_043.txt
case_044	24	128	24	128	4.744449471	0.197685395	1	21	36.116138	74.847	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_044.txt
case_045	24	128	24	128	19.400446171	0.808351924	1	3	35.515275	75.974	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_045.txt
case_046	24	128	24	128	12.075726669	0.503155278	0	0	34.991512	72.840	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_046.txt
case_047	24	128	24	128	9.596717855	0.399863244	0	0	33.767278	69.822	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_047.txt
case_048	24	128	24	128	7.413137691	0.308880737	1	16	30.413604	63.043	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_048.txt
case_049	24	128	24	128	8.007404148	0.333641839	0	0	28.955090	60.753	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_049.txt
case_050	24	128	24	128	10.857993765	0.452416407	1	20	29.461739	59.429	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_050.txt
case_051	24	128	24	128	14.954573734	0.623107239	1	14	32.598990	65.027	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_051.txt
case_052	24	128	24	128	4.298093158	0.179087215	0	0	32.285973	75.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_052.txt
case_053	24	128	24	128	6.220063621	0.259169318	1	6	44.120329	85.235	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_053.txt
case_054	24	128	24	128	9.540276396	0.397511516	0	0	30.021888	57.143	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_054.txt
case_055	24	128	24	128	7.964497113	0.331854046	1	5	26.951142	54.902	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_055.txt
case_056	24	128	24	128	9.904882208	0.412703425	0	0	29.308847	60.753	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_056.txt
case_057	24	128	24	128	19.913892610	0.829745525	0	0	27.237954	55.276	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_057.txt
case_058	24	128	24	128	6.938605444	0.289108560	1	4	34.645373	72.024	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_058.txt
case_059	24	128	24	128	18.577454173	0.774060591	0	0	29.834674	59.686	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_059.txt
case_060	24	111	24	111	0.315173819	0.013132242	1	24	44.217065	92.308	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_060.txt
case_061	24	128	24	128	14.102816296	0.587617346	0	0	35.778045	71.930	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_061.txt
case_062	24	128	24	128	20.240079615	0.843336651	0	0	33.895011	71.257	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_062.txt
case_063	24	128	24	128	7.626356381	0.317764849	1	3	40.898110	85.401	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_063.txt
case_064	24	128	24	128	17.364590540	0.723524606	1	3	35.948503	73.780	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_064.txt
case_065	24	128	24	128	13.865970189	0.577748758	1	11	32.160028	62.434	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_065.txt
case_066	24	128	24	128	15.005028218	0.625209509	1	5	29.474330	55.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_066.txt
case_067	24	128	24	128	7.225334990	0.301055625	1	2	35.464137	71.687	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_067.txt
case_068	24	128	24	128	23.237738980	0.968239124	1	2	33.116284	69.277	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_068.txt
case_069	24	128	24	128	7.084687578	0.295195316	1	3	33.120671	66.667	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_069.txt
case_070	24	128	24	128	5.719517925	0.238313247	1	3	44.573289	88.489	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_070.txt
case_071	24	128	24	128	2.947452180	0.122810507	1	2	34.640376	68.571	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_071.txt
case_072	24	128	24	128	1.677352534	0.069889689	1	24	33.203976	64.865	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_072.txt
case_073	24	128	24	128	11.488481129	0.478686714	1	10	38.626793	77.707	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_073.txt
case_074	24	128	24	128	32.263643314	1.344318471	0	0	32.503644	67.429	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_074.txt
case_075	24	128	24	128	13.095964423	0.545665184	1	1	29.005698	59.358	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_075.txt
case_076	24	128	24	128	1.863408202	0.077642008	0	0	32.169550	71.429	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_076.txt
case_077	24	128	24	128	6.030116021	0.251254834	1	2	27.332025	54.167	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_077.txt
case_078	24	128	24	128	5.644763949	0.235198498	0	0	29.945044	61.376	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_078.txt
