mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
fast_relaxed	case_000	17	128	3.383471	37.830973	159	121	34	76.101	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_000.txt
fast_relaxed	case_001	18	128	4.024262	31.807074	178	107	41	60.112	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_001.txt
fast_relaxed	case_002	19	128	3.404358	37.598866	154	118	33	76.623	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_002.txt
fast_relaxed	case_003	19	128	4.284923	29.872182	188	111	43	59.043	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_003.txt
fast_relaxed	case_004	15	128	3.817697	33.528067	167	114	38	68.263	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_004.txt
fast_relaxed	case_005	14	128	3.475489	36.829350	161	119	35	73.913	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_005.txt
fast_relaxed	case_006	18	128	3.702685	34.569508	174	118	38	67.816	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_006.txt
fast_relaxed	case_007	14	128	3.830184	33.418760	165	114	38	69.091	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_007.txt
fast_relaxed	case_008	20	128	4.154466	30.810217	192	114	41	59.375	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_008.txt
fast_relaxed	case_009	17	128	4.287183	29.856435	198	116	44	58.586	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_009.txt
fast_relaxed	case_010	26	128	3.875103	33.031380	178	119	38	66.854	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_010.txt
fast_relaxed	case_011	21	128	2.889145	44.303765	147	127	30	86.395	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_011.txt
fast_relaxed	case_012	22	128	4.529569	28.258759	208	116	44	55.769	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_012.txt
fast_relaxed	case_013	22	128	4.699606	27.236326	190	108	46	56.842	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_013.txt
fast_relaxed	case_014	21	128	4.181717	30.609436	188	116	41	61.702	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_014.txt
fast_relaxed	case_015	22	128	3.949107	32.412391	173	116	38	67.052	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_015.txt
fast_relaxed	case_016	19	128	3.868959	33.083835	171	116	40	67.836	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_016.txt
fast_relaxed	case_017	26	128	3.925981	32.603316	8	7	2	87.500	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_017.txt
fast_relaxed	case_018	25	128	4.405468	29.054802	180	107	43	59.444	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_018.txt
fast_relaxed	case_019	19	128	4.137856	30.933894	187	118	43	63.102	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_019.txt
fast_relaxed	case_020	18	128	3.915078	32.694112	178	114	41	64.045	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_020.txt
fast_relaxed	case_021	18	128	2.904528	44.069122	139	120	29	86.331	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_021.txt
fast_relaxed	case_022	16	128	3.680622	34.776731	171	121	36	70.760	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_022.txt
fast_relaxed	case_023	14	128	3.295364	38.842447	147	117	33	79.592	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_023.txt
fast_relaxed	case_024	15	128	4.543645	28.171215	195	114	46	58.462	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_024.txt
fast_relaxed	case_025	20	128	3.919695	32.655602	171	116	38	67.836	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_025.txt
fast_relaxed	case_026	17	128	4.198136	30.489722	187	117	41	62.567	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_026.txt
fast_relaxed	case_027	14	128	4.078331	31.385388	184	120	40	65.217	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_027.txt
fast_relaxed	case_028	16	128	4.089312	31.301109	188	119	41	63.298	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_028.txt
fast_relaxed	case_029	18	128	3.634992	35.213282	165	120	35	72.727	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
fast_relaxed	case_030	23	128	3.533328	36.226470	167	121	35	72.455	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_030.txt
fast_relaxed	case_031	22	128	3.421573	37.409694	166	125	34	75.301	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_031.txt
fast_relaxed	case_032	18	128	3.575935	35.794834	166	122	35	73.494	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_032.txt
fast_relaxed	case_033	15	128	4.087173	31.317490	185	118	40	63.784	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_033.txt
fast_relaxed	case_034	22	128	3.293770	38.861244	153	120	32	78.431	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_034.txt
fast_relaxed	case_035	23	128	3.981298	32.150319	6	6	2	100.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_035.txt
fast_relaxed	case_036	21	128	4.006611	31.947199	178	116	41	65.169	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_036.txt
fast_relaxed	case_037	18	128	4.227052	30.281151	189	117	40	61.905	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_037.txt
fast_relaxed	case_038	26	128	4.468453	28.645260	192	113	45	58.854	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_038.txt
fast_relaxed	case_039	23	128	4.484078	28.545445	186	109	42	58.602	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_039.txt
fast_relaxed	case_040	21	128	4.043791	31.653466	180	115	41	63.889	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_040.txt
fast_relaxed	case_041	15	128	3.569617	35.858189	156	118	36	75.641	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_041.txt
fast_relaxed	case_042	14	128	4.219861	30.332753	194	119	43	61.340	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_042.txt
fast_relaxed	case_043	18	128	2.672872	47.888563	137	128	28	93.431	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_043.txt
fast_relaxed	case_044	20	128	3.544122	36.116138	163	122	35	74.847	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_044.txt
fast_relaxed	case_045	18	128	3.604083	35.515275	154	117	36	75.974	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_045.txt
fast_relaxed	case_046	19	128	3.658030	34.991512	162	118	37	72.840	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_046.txt
fast_relaxed	case_047	16	128	3.790652	33.767278	169	118	37	69.822	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_047.txt
