bucket	id	speedup	candidate_acceptance_pct	token_lcp	char_lcp	candidate_max_repeated_line_run	candidate_generated	base_output	candidate_output
lowest_lcp	case_029	1.107753	72.727	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_029.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
lowest_lcp	case_032	1.126975	73.494	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_032.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_032.txt
lowest_lcp	case_039	0.898231	58.602	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_039.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_039.txt
lowest_lcp	case_040	1.000518	63.889	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_040.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_040.txt
lowest_lcp	case_042	0.951961	61.340	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_042.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_042.txt
lowest_lcp	case_044	1.136349	74.847	0	1	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_044.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_044.txt
lowest_lcp	case_047	1.061804	69.822	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_047.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_047.txt
lowest_lcp	case_049	0.911045	60.753	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_049.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_049.txt
lowest_lcp	case_057	0.857011	55.276	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_057.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_057.txt
lowest_lcp	case_061	1.130289	71.930	0	0	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_061.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_061.txt
highest_speedup	case_043	1.503637	93.431	41	351	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_043.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_043.txt
highest_speedup	case_070	1.401116	88.489	2	9	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_070.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_070.txt
highest_speedup	case_011	1.394376	86.395	10	52	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_011.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_011.txt
highest_speedup	case_060	1.394241	92.308	22	150	1	111	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_060.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_060.txt
highest_speedup	case_053	1.387549	85.235	4	26	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_053.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_053.txt
highest_speedup	case_021	1.385749	86.331	11	54	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_021.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_021.txt
highest_speedup	case_095	1.370209	100.000	6	36	1	13	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_095.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_095.txt
highest_speedup	case_083	1.320294	84.615	5	36	1	58	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_083.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_083.txt
highest_speedup	case_063	1.285048	85.401	9	47	2	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_063.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_063.txt
highest_speedup	case_081	1.266935	78.808	2	9	1	128	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_081.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_081.txt
