id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_000	24	128	24	128	3.435796806	0.143158200	1	23	31.481159	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_000.txt
case_001	24	128	24	128	3.302673475	0.137611395	1	24	31.902371	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_001.txt
case_002	24	128	24	128	6.798247640	0.283260318	0	0	31.726124	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_002.txt
case_003	24	128	24	128	6.004962154	0.250206756	1	8	31.775853	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_003.txt
case_004	24	128	24	128	6.067247117	0.252801963	1	14	31.716211	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_004.txt
case_005	24	128	24	128	3.547885352	0.147828556	1	9	31.787390	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_005.txt
case_006	24	128	24	128	5.885876516	0.245244855	1	2	31.653074	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_006.txt
case_007	24	128	24	128	5.834143410	0.243089309	0	0	31.912774	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_007.txt
case_008	24	128	24	128	3.451768421	0.143823684	1	12	31.825873	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_008.txt
case_009	24	128	24	128	2.993752135	0.124739672	1	11	31.652315	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_009.txt
case_010	24	128	24	128	1.633208129	0.068050339	1	9	31.852261	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_010.txt
case_011	24	128	24	128	2.947172341	0.122798848	1	24	31.773187	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_011.txt
case_012	24	128	24	128	2.623739986	0.109322499	1	10	31.795420	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_012.txt
case_013	24	128	24	128	2.481992357	0.103416348	0	0	31.830716	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_013.txt
case_014	24	128	24	128	3.330608225	0.138775343	0	0	31.794425	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_014.txt
case_015	24	128	24	128	1.500033793	0.062501408	1	18	31.766311	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_015.txt
case_016	24	128	24	128	2.977051761	0.124043823	1	2	31.775206	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_016.txt
case_017	24	128	24	128	6.167297179	0.256970716	0	0	31.699112	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_017.txt
case_018	24	128	24	128	1.706816016	0.071117334	1	17	31.776894	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_018.txt
case_019	24	128	24	128	7.663914683	0.319329778	1	13	31.514907	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_019.txt
case_020	24	128	24	128	3.347569961	0.139482082	1	10	31.799954	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_020.txt
case_021	24	128	24	128	0.673418839	0.028059118	1	24	31.801653	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_021.txt
case_022	24	128	24	128	4.661007699	0.194208654	1	2	31.610855	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_022.txt
case_023	24	128	24	128	2.422370072	0.100932086	0	0	31.826767	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_023.txt
case_024	24	128	24	128	10.606531422	0.441938809	0	0	31.813296	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_024.txt
