id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp
case_000	17	1	0.175705776	0.175705776	1	1
case_001	18	1	0.003915230	0.003915230	1	1
case_002	19	1	4.162901878	4.162901878	0	0
case_003	19	1	0.373022527	0.373022527	1	1
case_004	15	1	0.018463377	0.018463377	1	1
case_005	14	1	0.000417143	0.000417143	1	1
case_006	18	1	0.030316122	0.030316122	1	1
case_007	14	1	2.970901728	2.970901728	0	0
case_008	20	1	0.001623151	0.001623151	1	1
case_009	17	1	0.002538959	0.002538959	1	1
case_010	26	1	0.354149818	0.354149818	1	1
case_011	21	1	0.005063373	0.005063373	1	1
case_012	22	1	0.978078961	0.978078961	1	1
case_013	22	1	5.041029453	5.041029453	0	0
case_014	21	1	3.265235424	3.265235424	0	0
case_015	22	1	0.028840216	0.028840216	1	1
case_016	19	1	0.268325895	0.268325895	1	1
case_017	26	1	1.826189399	1.826189399	0	0
case_018	25	1	0.095181137	0.095181137	1	1
case_019	19	1	0.116893411	0.116893411	1	1
case_020	18	1	0.835866690	0.835866690	1	1
case_021	18	1	0.000005303	0.000005303	1	1
case_022	16	1	0.008520292	0.008520292	1	1
case_023	14	1	2.160961151	2.160961151	0	0
case_024	15	1	2.243366957	2.243366957	0	0
case_025	20	1	0.471373737	0.471373737	1	1
case_026	17	1	0.000114311	0.000114311	1	1
case_027	14	1	0.004879546	0.004879546	1	1
case_028	16	1	0.129542276	0.129542276	1	1
case_029	18	1	0.866398633	0.866398633	0	0
case_030	23	1	10.292149544	10.292149544	0	0
case_031	22	1	0.001631004	0.001631004	1	1
case_032	18	1	5.280528069	5.280528069	0	0
case_033	15	1	2.889194012	2.889194012	0	0
case_034	22	1	0.478916079	0.478916079	1	1
case_035	23	1	0.369518578	0.369518578	1	1
case_036	21	1	0.009139374	0.009139374	1	1
case_037	18	1	2.213621616	2.213621616	0	0
case_038	26	1	0.230956048	0.230956048	1	1
case_039	23	1	1.892105937	1.892105937	0	0
case_040	21	1	0.136663198	0.136663198	1	1
case_041	15	1	0.053187162	0.053187162	1	1
case_042	14	1	0.645053804	0.645053804	1	1
case_043	18	1	0.265299350	0.265299350	1	1
case_044	20	1	2.264477968	2.264477968	0	0
case_045	18	1	0.012787684	0.012787684	1	1
case_046	19	1	2.071252823	2.071252823	0	0
case_047	16	1	3.678851128	3.678851128	0	0
case_048	18	1	0.006482897	0.006482897	1	1
case_049	18	1	0.049155377	0.049155377	1	1
case_050	27	1	0.091855943	0.091855943	1	1
case_051	21	1	0.079162575	0.079162575	1	1
case_052	19	1	5.275580883	5.275580883	0	0
case_053	22	1	0.020838579	0.020838579	1	1
case_054	24	1	3.173241138	3.173241138	0	0
case_055	25	1	0.042231124	0.042231124	1	1
case_056	18	1	4.358971596	4.358971596	0	0
case_057	22	1	6.362467289	6.362467289	0	0
case_058	25	1	0.062839322	0.062839322	1	1
case_059	23	1	7.595968246	7.595968246	0	0
case_060	17	1	0.003300760	0.003300760	1	1
case_061	16	1	3.271975517	3.271975517	0	0
case_062	14	1	0.267735451	0.267735451	1	1
case_063	15	1	0.019012691	0.019012691	1	1
case_064	12	1	0.003074238	0.003074238	1	1
case_065	15	1	0.027198598	0.027198598	1	1
case_066	16	1	3.355536461	3.355536461	0	0
case_067	17	1	0.010627110	0.010627110	1	1
case_068	17	1	1.365424514	1.365424514	1	1
case_069	18	1	0.000137113	0.000137113	1	1
case_070	24	1	0.004566956	0.004566956	1	1
case_071	24	1	0.150884241	0.150884241	1	1
case_072	17	1	1.299996018	1.299996018	0	0
case_073	15	1	0.004960579	0.004960579	1	1
case_074	15	1	4.996394157	4.996394157	0	0
case_075	16	1	0.043080669	0.043080669	1	1
case_076	22	1	2.496371031	2.496371031	0	0
case_077	24	1	0.109797858	0.109797858	1	1
case_078	28	1	4.605680943	4.605680943	0	0
case_079	20	1	0.013621923	0.013621923	1	1
case_080	13	1	0.171007946	0.171007946	1	1
case_081	13	1	0.972167313	0.972167313	1	1
case_082	16	1	3.860754728	3.860754728	0	0
case_083	19	1	2.358147144	2.358147144	0	0
case_084	23	1	5.973351955	5.973351955	0	0
case_085	18	1	0.015017436	0.015017436	1	1
case_086	16	1	0.392299414	0.392299414	1	1
case_087	12	1	0.000340949	0.000340949	1	1
case_088	14	1	2.101699591	2.101699591	0	0
case_089	12	1	0.423927337	0.423927337	1	1
case_090	17	1	2.725805998	2.725805998	0	0
case_091	14	1	2.642894745	2.642894745	0	0
case_092	15	1	0.000626240	0.000626240	1	1
case_093	17	1	6.939395428	6.939395428	0	0
case_094	16	1	2.788377523	2.788377523	0	0
case_095	17	1	0.000008289	0.000008289	1	1
case_096	15	1	2.299972534	2.299972534	0	0
case_097	22	1	0.055842414	0.055842414	1	1
case_098	20	1	0.044230767	0.044230767	1	1
case_099	22	1	0.001170255	0.001170255	1	1
