mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	byte_equal_vs_no_draft	char_lcp_vs_no_draft	token_lcp_vs_no_draft	chars	words	lines	max_repeated_line_run	early_stop	output_file
no_draft	case_000	17	128	4.065924	31.481159	0	0	0	0.000	1	489	87	489	87	8	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_000.txt
no_draft	case_001	18	128	4.012241	31.902371	0	0	0	0.000	1	429	59	429	59	12	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_001.txt
no_draft	case_002	19	128	4.034530	31.726124	0	0	0	0.000	1	600	96	600	96	13	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_002.txt
no_draft	case_003	19	128	4.028216	31.775853	0	0	0	0.000	1	605	93	605	93	9	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_003.txt
no_draft	case_004	15	128	4.035791	31.716211	0	0	0	0.000	1	533	82	533	82	10	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_004.txt
no_draft	case_005	14	128	4.026754	31.787390	0	0	0	0.000	1	501	80	501	80	16	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_005.txt
no_draft	case_006	18	128	4.043841	31.653074	0	0	0	0.000	1	579	77	579	77	10	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_006.txt
no_draft	case_007	14	128	4.010933	31.912774	0	0	0	0.000	1	652	95	652	95	11	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_007.txt
no_draft	case_008	20	128	4.021885	31.825873	0	0	0	0.000	1	567	87	567	87	9	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_008.txt
no_draft	case_009	17	128	4.043938	31.652315	0	0	0	0.000	1	521	85	521	85	12	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_009.txt
no_draft	case_010	26	128	4.018553	31.852261	0	0	0	0.000	1	392	67	392	67	9	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_010.txt
no_draft	case_011	21	128	4.028554	31.773187	0	0	0	0.000	1	480	66	480	66	22	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_011.txt
no_draft	case_012	22	128	4.025737	31.795420	0	0	0	0.000	1	484	75	484	75	10	1	0	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_012.txt
