mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
strict_byte	case_000	17	128	4.241494	30.178046	168	93	34	55.357	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_000.txt
strict_byte	case_001	18	128	4.187672	30.565909	186	90	38	48.387	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_001.txt
strict_byte	case_002	19	128	4.437705	28.843738	180	92	36	51.111	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_002.txt
strict_byte	case_003	19	128	5.021401	25.490894	241	79	49	32.780	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_003.txt
strict_byte	case_004	15	128	4.250962	30.110831	179	92	36	51.397	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_004.txt
strict_byte	case_005	14	128	4.017670	31.859262	166	94	34	56.627	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_005.txt
strict_byte	case_006	18	128	4.347611	29.441456	176	92	36	52.273	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_006.txt
strict_byte	case_007	14	128	4.898888	26.128379	231	81	47	35.065	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_007.txt
strict_byte	case_008	20	128	4.693472	27.271922	223	82	46	36.771	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_008.txt
strict_byte	case_009	17	128	4.544678	28.164812	190	89	38	46.842	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_009.txt
strict_byte	case_010	26	128	4.525137	28.286436	200	87	41	43.500	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_010.txt
strict_byte	case_011	21	128	4.178765	30.631060	174	93	35	53.448	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_011.txt
strict_byte	case_012	22	128	4.315277	29.662059	171	93	35	54.386	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_012.txt
strict_byte	case_013	22	128	4.513804	28.357456	205	85	42	41.463	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_013.txt
strict_byte	case_014	21	128	4.870376	26.281338	226	81	46	35.841	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_014.txt
strict_byte	case_015	22	128	4.483288	28.550475	188	89	39	47.340	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_015.txt
strict_byte	case_016	19	128	4.779907	26.778764	226	82	46	36.283	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_016.txt
strict_byte	case_017	26	128	4.333166	29.539602	200	87	41	43.500	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_017.txt
strict_byte	case_018	25	128	4.452392	28.748592	225	82	46	36.444	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_018.txt
strict_byte	case_019	19	128	5.355672	23.899895	269	74	54	27.509	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_019.txt
strict_byte	case_020	18	128	4.249768	30.119291	190	89	38	46.842	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_020.txt
strict_byte	case_021	18	128	3.409470	37.542492	135	100	28	74.074	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_021.txt
strict_byte	case_022	16	128	4.564816	28.040561	232	81	47	34.914	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_022.txt
strict_byte	case_023	14	128	4.789407	26.725647	206	86	42	41.748	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_023.txt
strict_byte	case_024	15	128	5.085005	25.172050	221	83	45	37.557	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_024.txt
strict_byte	case_025	20	128	4.031135	31.752844	181	90	37	49.724	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_025.txt
strict_byte	case_026	17	128	5.004701	25.575953	248	77	51	31.048	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_026.txt
strict_byte	case_027	14	128	4.561741	28.059462	194	88	39	45.361	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_027.txt
