mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
no_draft	case_000	17	128	3.652765	35.041948	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_000.txt
no_draft	case_001	18	128	3.614285	35.415027	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_001.txt
no_draft	case_002	19	128	3.631101	35.251016	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_002.txt
no_draft	case_003	19	128	3.663600	34.938312	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_003.txt
no_draft	case_004	15	128	3.850013	33.246641	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_004.txt
no_draft	case_005	14	128	3.639626	35.168449	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_005.txt
no_draft	case_006	18	128	3.657924	34.992526	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_006.txt
no_draft	case_007	14	128	3.656736	35.003894	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_007.txt
no_draft	case_008	20	128	3.656739	35.003865	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_008.txt
no_draft	case_009	17	128	3.784510	33.822080	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_009.txt
no_draft	case_010	26	128	3.657999	34.991808	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_010.txt
no_draft	case_011	21	128	3.693988	34.650898	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_011.txt
no_draft	case_012	22	128	3.869447	33.079662	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_012.txt
no_draft	case_013	22	128	3.720924	34.400058	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_013.txt
no_draft	case_014	21	128	3.715421	34.451008	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_014.txt
no_draft	case_015	22	128	3.726039	34.352834	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_015.txt
no_draft	case_016	19	128	3.653472	35.035167	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_016.txt
no_draft	case_017	26	128	3.692458	34.665256	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_017.txt
no_draft	case_018	25	128	3.714187	34.462454	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_018.txt
no_draft	case_019	19	128	3.749996	34.133370	0	0	0	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_019.txt
