mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
softmax_min3_fixed8_token05	case_000	17	128	3.925751	32.605226	168	93	34	55.357	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_000.txt
softmax_min3_fixed8_token05	case_001	18	128	4.088424	31.307907	186	90	38	48.387	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_001.txt
softmax_min3_fixed8_token05	case_002	19	128	4.726983	27.078583	180	92	36	51.111	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_002.txt
softmax_min3_fixed8_token05	case_003	19	128	4.727776	27.074041	241	79	49	32.780	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_003.txt
softmax_min3_fixed8_token05	case_004	15	128	3.934998	32.528606	179	92	36	51.397	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_004.txt
softmax_min3_fixed8_token05	case_005	14	128	3.721426	34.395417	166	94	34	56.627	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_005.txt
softmax_min3_fixed8_token05	case_006	18	128	4.017270	31.862434	176	92	36	52.273	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_006.txt
softmax_min3_fixed8_token05	case_007	14	128	4.544245	28.167495	231	81	47	35.065	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_007.txt
softmax_min3_fixed8_token05	case_008	20	128	4.346926	29.446096	223	82	46	36.771	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_008.txt
softmax_min3_fixed8_token05	case_009	17	128	4.192602	30.529967	190	89	38	46.842	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_009.txt
softmax_min3_fixed8_token05	case_010	26	128	4.165204	30.730788	200	87	41	43.500	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_010.txt
softmax_min3_fixed8_token05	case_011	21	128	3.852876	33.221936	174	93	35	53.448	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_011.txt
softmax_min3_fixed8_token05	case_012	22	128	3.974215	32.207618	171	93	35	54.386	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_012.txt
softmax_min3_fixed8_token05	case_013	22	128	4.151121	30.835044	205	85	42	41.463	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_013.txt
softmax_min3_fixed8_token05	case_014	21	128	4.469679	28.637403	226	81	46	35.841	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_014.txt
softmax_min3_fixed8_token05	case_015	22	128	4.054001	31.573747	188	89	39	47.340	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_015.txt
softmax_min3_fixed8_token05	case_016	19	128	4.394828	29.125144	226	82	46	36.283	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_016.txt
softmax_min3_fixed8_token05	case_017	26	128	3.996504	32.027992	200	87	41	43.500	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_017.txt
softmax_min3_fixed8_token05	case_018	25	128	4.111840	31.129616	225	82	46	36.444	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_018.txt
softmax_min3_fixed8_token05	case_019	19	128	4.925402	25.987726	269	74	54	27.509	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_019.txt
