id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_000	1	128	128	35.041948	32.605226	0.930463	55.357	489	87	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_000.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_000.txt
case_001	1	128	128	35.415027	31.307907	0.884029	48.387	429	59	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_001.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_001.txt
case_002	1	128	128	35.251016	27.078583	0.768165	51.111	600	96	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_002.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_002.txt
case_003	1	128	128	34.938312	27.074041	0.774910	32.780	605	93	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_003.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_003.txt
case_004	1	128	128	33.246641	32.528606	0.978403	51.397	533	82	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_004.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_004.txt
case_005	1	128	128	35.168449	34.395417	0.978019	56.627	501	80	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_005.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_005.txt
case_006	1	128	128	34.992526	31.862434	0.910550	52.273	579	77	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_006.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_006.txt
case_007	1	128	128	35.003894	28.167495	0.804696	35.065	652	95	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_007.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_007.txt
case_008	1	128	128	35.003865	29.446096	0.841224	36.771	567	87	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_008.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_008.txt
case_009	1	128	128	33.822080	30.529967	0.902664	46.842	521	85	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_009.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_009.txt
case_010	1	128	128	34.991808	30.730788	0.878228	43.500	392	67	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_010.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_010.txt
case_011	1	128	128	34.650898	33.221936	0.958761	53.448	480	66	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_011.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_011.txt
case_012	1	128	128	33.079662	32.207618	0.973638	54.386	484	75	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_012.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_012.txt
case_013	1	128	128	34.400058	30.835044	0.896366	41.463	439	73	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_013.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_013.txt
case_014	1	128	128	34.451008	28.637403	0.831250	35.841	487	76	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_014.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_014.txt
case_015	1	128	128	34.352834	31.573747	0.919102	47.340	444	69	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_015.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_015.txt
case_016	1	128	128	35.035167	29.125144	0.831312	36.283	504	72	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_016.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_016.txt
case_017	1	128	128	34.665256	32.027992	0.923922	43.500	499	68	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_017.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_017.txt
case_018	1	128	128	34.462454	31.129616	0.903291	36.444	487	62	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_018.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_018.txt
case_019	1	128	128	34.133370	25.987726	0.761358	27.509	487	78	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_019.txt	bench-results/dspark_quality_softmax20_20260630_200407/softmax/outputs/case_019.txt
