id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_000	24	128	24	128	3.435796806	0.143158200	1	23	33.840312	55.357	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_000.txt
case_001	24	128	24	128	3.302673475	0.137611395	1	24	33.477829	48.387	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_001.txt
case_002	24	128	24	128	6.798247640	0.283260318	0	0	32.298421	51.111	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_002.txt
case_003	24	128	24	128	6.004962154	0.250206756	1	8	28.805175	32.780	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_003.txt
case_004	24	128	24	128	6.067247117	0.252801963	1	14	34.184345	51.397	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_004.txt
case_005	24	128	24	128	3.547885352	0.147828556	1	9	36.169309	56.627	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_005.txt
case_006	24	128	24	128	5.885876516	0.245244855	1	2	33.075551	52.273	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_006.txt
case_007	24	128	24	128	5.834143410	0.243089309	0	0	29.445967	35.065	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_007.txt
case_008	24	128	24	128	3.451768421	0.143823684	1	12	30.726450	36.771	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_008.txt
case_009	24	128	24	128	2.993752135	0.124739672	1	11	31.602839	46.842	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_009.txt
case_010	24	128	24	128	1.633208129	0.068050339	1	9	32.039264	43.500	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_010.txt
case_011	24	128	24	128	2.947172341	0.122798848	1	24	34.572459	53.448	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_011.txt
case_012	24	128	24	128	2.623739986	0.109322499	1	10	33.443593	54.386	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_012.txt
case_013	24	128	24	128	2.481992357	0.103416348	0	0	32.062803	41.463	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_013.txt
case_014	24	128	24	128	3.330608225	0.138775343	0	0	29.376125	35.841	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_014.txt
case_015	24	128	24	128	1.500033793	0.062501408	1	18	32.097424	47.340	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_015.txt
case_016	24	128	24	128	2.977051761	0.124043823	1	2	29.640141	36.283	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_016.txt
case_017	24	128	24	128	6.167297179	0.256970716	0	0	32.708724	43.500	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_017.txt
case_018	24	128	24	128	1.706816016	0.071117334	1	17	32.064747	36.444	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_018.txt
case_019	24	128	24	128	7.663914683	0.319329778	1	13	26.268955	27.509	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_019.txt
