mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
static5	case_000	17	128	3.782471	33.840312	168	93	34	55.357	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_000.txt
static5	case_001	18	128	3.823426	33.477829	186	90	38	48.387	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_001.txt
static5	case_002	19	128	3.963042	32.298421	180	92	36	51.111	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_002.txt
static5	case_003	19	128	4.443646	28.805175	241	79	49	32.780	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_003.txt
static5	case_004	15	128	3.744404	34.184345	179	92	36	51.397	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_004.txt
static5	case_005	14	128	3.538912	36.169309	166	94	34	56.627	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_005.txt
static5	case_006	18	128	3.869928	33.075551	176	92	36	52.273	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_006.txt
static5	case_007	14	128	4.346945	29.445967	231	81	47	35.065	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_007.txt
static5	case_008	20	128	4.165792	30.726450	223	82	46	36.771	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_008.txt
static5	case_009	17	128	4.050269	31.602839	190	89	38	46.842	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_009.txt
static5	case_010	26	128	3.995098	32.039264	200	87	41	43.500	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_010.txt
static5	case_011	21	128	3.702369	34.572459	174	93	35	53.448	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_011.txt
static5	case_012	22	128	3.827340	33.443593	171	93	35	54.386	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_012.txt
static5	case_013	22	128	3.992165	32.062803	205	85	42	41.463	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_013.txt
static5	case_014	21	128	4.357280	29.376125	226	81	46	35.841	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_014.txt
static5	case_015	22	128	3.987859	32.097424	188	89	39	47.340	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_015.txt
static5	case_016	19	128	4.318468	29.640141	226	82	46	36.283	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_016.txt
static5	case_017	26	128	3.913329	32.708724	200	87	41	43.500	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_017.txt
static5	case_018	25	128	3.991923	32.064747	225	82	46	36.444	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_018.txt
static5	case_019	19	128	4.872672	26.268955	269	74	54	27.509	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_019.txt
