id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_000	1	128	128	35.041948	33.840312	0.965709	55.357	489	87	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_000.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_000.txt
case_001	1	128	128	35.415027	33.477829	0.945300	48.387	429	59	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_001.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_001.txt
case_002	1	128	128	35.251016	32.298421	0.916241	51.111	600	96	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_002.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_002.txt
case_003	1	128	128	34.938312	28.805175	0.824458	32.780	605	93	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_003.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_003.txt
case_004	1	128	128	33.246641	34.184345	1.028204	51.397	533	82	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_004.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_004.txt
case_005	1	128	128	35.168449	36.169309	1.028459	56.627	501	80	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_005.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_005.txt
case_006	1	128	128	34.992526	33.075551	0.945218	52.273	579	77	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_006.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_006.txt
case_007	1	128	128	35.003894	29.445967	0.841220	35.065	652	95	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_007.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_007.txt
case_008	1	128	128	35.003865	30.726450	0.877802	36.771	567	87	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_008.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_008.txt
case_009	1	128	128	33.822080	31.602839	0.934385	46.842	521	85	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_009.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_009.txt
case_010	1	128	128	34.991808	32.039264	0.915622	43.500	392	67	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_010.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_010.txt
case_011	1	128	128	34.650898	34.572459	0.997736	53.448	480	66	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_011.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_011.txt
case_012	1	128	128	33.079662	33.443593	1.011002	54.386	484	75	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_012.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_012.txt
case_013	1	128	128	34.400058	32.062803	0.932057	41.463	439	73	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_013.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_013.txt
case_014	1	128	128	34.451008	29.376125	0.852693	35.841	487	76	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_014.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_014.txt
case_015	1	128	128	34.352834	32.097424	0.934346	47.340	444	69	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_015.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_015.txt
case_016	1	128	128	35.035167	29.640141	0.846011	36.283	504	72	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_016.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_016.txt
case_017	1	128	128	34.665256	32.708724	0.943559	43.500	499	68	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_017.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_017.txt
case_018	1	128	128	34.462454	32.064747	0.930426	36.444	487	62	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_018.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_018.txt
case_019	1	128	128	34.133370	26.268955	0.769597	27.509	487	78	1	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_019.txt	bench-results/dspark_quality_static5_20260630_201805/static5/outputs/case_019.txt
