type	config	t/s	speedup	tau	sched	block_ms	draft_ms	verify_ms	byte=
code	nodraft	35.04	1.00x	-	-	-	-	-	-
code	static5	44.78	1.28x	3.95	5.0	83.66	10.68	71.11	YES
code	dynamic	43.08	1.23x	3.03	3.6	66.62	8.71	56.29	YES
code	conf	45.69	1.30x	4.1	4.76	84.67	10.67	72.1	YES
code	confcost	43.01	1.23x	3.03	3.76	66.8	10.59	54.68	YES
prose	nodraft	35.80	1.00x	-	-	-	-	-	-
prose	static5	29.12	0.81x	1.65	4.97	63.88	10.55	52.05	YES
prose	dynamic	32.26	0.90x	1.56	3.54	52.53	8.65	42.65	YES
prose	conf	33.66	0.94x	1.42	2.86	44.97	10.63	33.36	YES
prose	confcost	32.35	0.90x	1.56	3.53	52.02	10.62	40.24	YES
json	nodraft	35.87	1.00x	-	-	-	-	-	-
json	static5	35.23	0.98x	2.25	4.99	65.11	10.63	53.14	YES
json	dynamic	35.08	0.98x	1.99	3.97	58.31	9.21	47.8	YES
json	conf	38.19	1.06x	1.94	3.56	49.82	10.69	38.11	YES
json	confcost	36.91	1.03x	1.99	3.4	54.05	10.69	42.22	YES
math	nodraft	35.76	1.00x	-	-	-	-	-	-
math	static5	39.97	1.12x	3.31	4.98	80.7	10.61	68.35	YES
math	dynamic	36.76	1.03x	1.65	2.07	45.28	6.81	37.19	YES
math	conf	40.71	1.14x	3.2	4.62	76.1	10.64	63.83	YES
math	confcost	39.28	1.10x	2.33	2.91	57.93	10.62	46.13	YES
summarize	nodraft	35.39	1.00x	-	-	-	-	-	-
summarize	static5	33.58	0.95x	2.68	4.99	81.56	10.68	69.21	YES
summarize	dynamic	35.65	1.01x	2.22	3.32	62.58	8.38	52.72	YES
summarize	conf	35.35	1.00x	2.39	3.56	68.12	10.7	55.99	YES
summarize	confcost	35.29	1.00x	2.33	3.69	67.08	10.7	54.96	YES
