type	tag	tps	speedup	tau	sched	accept%	full%	miss1%	block_ms	verify_ms	byte=
code	nodraft	35.53	1.00x	-	-	-	-	-	-	-	-
code	static5	44.02	1.24x	3.95	5.0	79.0	65.3	10.9	84.99	72.33	YES
code	conf04	45.19	1.27x	4.1	4.76	86.3	74.5	7.1	85.36	72.6	YES
code	confsm	44.22	1.24x	3.95	5.0	79.0	65.3	10.9	84.42	71.78	YES
code	dynamic	43.45	1.22x	3.24	3.97	81.6	71.2	11.0	69.96	59.08	YES
code	rows6	45.01	1.27x	5.0	6.0	83.3	62.0	0.0	110.57	97.54	YES
prose	nodraft	35.32	1.00x	-	-	-	-	-	-	-	-
prose	static5	28.77	0.81x	1.65	4.97	33.1	9.0	34.9	64.51	52.52	YES
prose	conf04	32.22	0.91x	1.42	2.86	54.5	35.6	35.1	46.69	34.63	YES
prose	confsm	29.13	0.82x	1.65	4.74	34.7	11.6	34.9	62.89	50.69	YES
prose	dynamic	31.01	0.88x	1.62	3.65	44.3	23.6	30.4	56.07	45.64	YES
prose	rows6	22.96	0.65x	2.6	5.98	43.4	6.2	0.0	112.67	100.3	YES
json	nodraft	31.38	1.00x	-	-	-	-	-	-	-	-
json	static5	29.79	0.95x	2.25	4.99	45.0	31.8	33.8	75.78	61.96	YES
json	conf04	36.21	1.15x	1.94	3.56	62.1	51.7	31.5	52.32	40.14	YES
json	confsm	34.32	1.09x	2.23	4.91	45.3	31.6	34.2	65.65	53.34	YES
json	dynamic	33.42	1.07x	1.99	3.96	50.4	37.7	29.9	60.31	49.31	YES
json	rows6	27.79	0.89x	3.19	5.98	53.4	31.2	0.0	114.11	101.31	YES
math	nodraft	34.83	1.00x	-	-	-	-	-	-	-	-
math	static5	39.72	1.14x	3.31	4.98	66.4	48.3	15.5	81.17	68.79	YES
math	conf04	38.45	1.10x	3.2	4.62	69.3	54.6	16.8	79.51	66.55	YES
math	confsm	37.82	1.09x	3.31	4.97	66.7	49.1	15.5	84.1	71.1	YES
math	dynamic	35.42	1.02x	1.65	2.07	79.9	76.6	14.4	46.69	38.36	YES
math	rows6	41.82	1.20x	4.68	5.99	78.2	50.5	0.0	111.26	98.47	YES
summarize	nodraft	29.67	1.00x	-	-	-	-	-	-	-	-
summarize	static5	32.54	1.10x	2.68	4.99	53.7	22.5	19.7	84.21	71.62	YES
summarize	conf04	34.75	1.17x	2.39	3.56	68.9	52.0	16.0	69.13	56.77	YES
summarize	confsm	33.77	1.14x	2.62	4.83	54.3	25.0	19.4	79.37	67.02	YES
summarize	dynamic	34.02	1.15x	2.22	3.44	64.5	49.4	17.3	65.79	55.54	YES
summarize	rows6	30.30	1.02x	3.62	5.99	60.6	22.2	0.0	118.7	106.27	YES
