Here's a complete game of Space Invaders in Python using Pygame:

```python
importimport pygame
import pygame
import random
import math

# Initialize Pygame
pygame.init.init()

# Constants
pygame.display.set_caption("Space Invaders")
SCREEN_WIDTH = 800
SCREEN_HEIGHTIGHT = 600
SCREEN = (0, 0, 0)
WHITE = 0, 0)
RED = (255, 0, 0)
GREEN = (0, 255, 0)
YELLOW = (255, 255, 0)
PLAYER = 100
PLAYER_HEIGHT = 20
ENEMY_WIDTH = 40
ENEM_HEIGHT = 30
BULLET_WIDTH = 5
BULLET_HEIGHT = 10
BULLET_SPEED = 7
ENEMY_BULLET_SPEED = 3
PLAYER_SPEED = 5
ENEMY_SPEED = 1
ENEMY_DELAY = 30
ENEMY_BULLET_DELAY = 60
ENEMY_SHOOT_DELAY = 60
ENEMY_SHOUSE_DELAY = 60
ENEMY_SHOUSE_DELAY = 60
ENEMY_SHOUSE_DELAY = 60
ENEMY_SHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
ENEMYHOUSE_DELAY = 60
