id	a_tokens	b_tokens	lcp	div_index	token_a	token_b	logit_a	logit_b	gap	prob_a	prob_b	note
case_000	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_001	128	128	35	35	15379	19863	36.521332	36.518856	0.002476	0.295387765	0.294657367	flip
case_002	128	128	53	53	3756	10814	48.263641	47.785820	0.477821	0.617232800	0.382766412	flip
case_003	128	128	47	47	343	305	35.288757	35.132095	0.156662	0.537482559	0.459543830	flip
case_004	128	128	23	23	14	1347	36.695839	36.483658	0.212181	0.357739302	0.289346064	flip
case_005	128	128	51	51	1017	18023	44.884468	44.752586	0.131882	0.532758141	0.466933028	flip
case_006	128	128	31	31	16126	17962	36.427055	36.355015	0.072041	0.495407700	0.460973474	flip
case_007	128	128	30	30	339	6380	35.590149	35.348198	0.241951	0.498432891	0.391316999	flip
case_008	128	128	13	13	33792	3226	35.371483	35.360687	0.010796	0.277663523	0.274682102	flip
case_009	128	128	30	30	3011	2619	35.201984	35.141052	0.060932	0.376559210	0.354299712	flip
case_010	128	128	77	77	2425	3509	33.237106	32.740295	0.496811	0.377686157	0.229809950	flip
case_011	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_012	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_013	128	128	87	87	2646	33481	33.009113	32.893929	0.115185	0.528247797	0.470775202	flip
case_014	128	128	21	21	64570	112586	28.102634	27.737820	0.364815	0.428735770	0.297682056	flip
case_015	128	128	114	114	17760	107128	30.896038	30.767864	0.128174	0.258652420	0.227536650	flip
case_016	128	128	48	48	666	343	36.299698	35.336510	0.963188	0.723677471	0.276208957	flip
case_017	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_018	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_019	128	128	15	15	295	1178	25.717941	25.275126	0.442816	0.189350545	0.121605750	flip
case_020	128	128	66	66	97458	34169	42.792519	42.643311	0.149208	0.489672857	0.421799238	flip
case_021	128	128	116	116	666	16221	39.653992	39.593704	0.060287	0.379987049	0.357755465	flip
case_022	128	128	97	97	22619	16893	34.194862	34.090706	0.104156	0.324883947	0.292747815	flip
case_023	128	128	90	90	19291	2052	36.415527	36.095856	0.319672	0.431163974	0.313192149	flip
case_024	128	128	54	54	666	22216	34.787392	34.695755	0.091637	0.397946723	0.363101161	flip
case_025	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_026	128	128	4	4	2831	14	39.836319	39.767761	0.068558	0.485177462	0.453029382	flip
case_027	128	128	63	63	4854	23997	39.286469	39.097679	0.188789	0.515574298	0.426875352	flip
case_028	128	128	11	11	19861	8851	33.814598	33.634884	0.179714	0.457148893	0.381951998	flip
case_029	128	128	33	33	16	1754	31.540369	31.461971	0.078398	0.268857837	0.248585040	flip
case_030	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_031	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_032	128	128	76	76	666	4437	34.813705	34.637142	0.176563	0.470060962	0.393979600	flip
case_033	128	128	45	45	1543	24819	33.879414	33.839809	0.039604	0.286789646	0.275653549	flip
case_034	128	128	107	107	617	70	38.134209	37.627399	0.506809	0.377414379	0.227359948	flip
case_035	128	128	62	62	612	582	33.253433	33.200428	0.053005	0.418196143	0.396606794	flip
case_036	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_037	128	128	15	15	106910	7648	30.264929	30.199121	0.065807	0.491473570	0.460172224	flip
case_038	128	128	81	81	3919	612	33.915306	33.742348	0.172958	0.542934178	0.456701370	flip
case_039	128	128	39	39	66805	119479	45.297691	44.907379	0.390312	0.596352877	0.403638781	flip
case_040	128	128	9	9	86012	33136	38.147972	38.097214	0.050758	0.357069495	0.339397526	flip
case_041	128	128	41	41	834	2912	35.484032	35.167984	0.316048	0.562845391	0.410328191	flip
case_042	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_043	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_044	128	128	29	29	344	7391	35.908070	35.750519	0.157551	0.444081148	0.379348952	flip
case_045	128	128	27	27	3107	12047	32.809120	32.703964	0.105156	0.232716788	0.209487960	flip
case_046	128	128	5	5	396	1754	34.401531	33.998970	0.402561	0.495196497	0.331091065	flip
case_047	128	128	12	12	5970	8412	29.578373	29.498983	0.079390	0.210396390	0.194338941	flip
case_048	128	128	71	71	12311	19	34.808674	34.767731	0.040943	0.419950871	0.403103997	flip
case_049	128	128	28	28	16724	2619	34.017693	33.793457	0.224236	0.346205844	0.276662400	flip
case_050	128	128	11	11	612	3493	33.144196	33.132782	0.011414	0.416554752	0.411827403	flip
case_051	128	128	48	48	7269	2408	28.418980	28.347666	0.071314	0.306662114	0.285554435	flip
case_052	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_053	128	128	74	74	57840	8954	27.732231	27.664085	0.068146	0.247166805	0.230884522	flip
case_054	128	128	36	36	582	982	30.615047	30.420218	0.194830	0.540419809	0.444751777	flip
case_055	128	128	2	2	612	3919	41.241344	41.226067	0.015278	0.503818474	0.496179706	flip
case_056	128	128	6	6	30790	105335	30.624119	30.594204	0.029915	0.317554843	0.308195919	flip
case_057	128	128	16	16	3011	1298	23.320461	23.223881	0.096581	0.337367505	0.306308374	flip
case_058	128	128	62	62	37	52	31.856073	31.683895	0.172178	0.254145250	0.213946864	flip
case_059	128	128	102	102	18761	5079	29.403404	28.954418	0.448986	0.248039196	0.158317218	flip
case_060	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_061	128	128	69	69	76527	38096	36.857090	36.821426	0.035664	0.441181863	0.425724989	flip
case_062	128	128	38	38	1487	1499	39.853348	39.846512	0.006836	0.410357908	0.407562293	flip
case_063	128	128	38	38	8058	8900	38.916496	38.866882	0.049614	0.512142252	0.487352885	flip
case_064	128	128	37	37	50012	62530	42.826469	42.818241	0.008228	0.498646603	0.494560423	flip
case_065	128	128	20	20	295	412	34.977364	34.932507	0.044857	0.434344638	0.415291753	flip
case_066	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_067	128	128	30	30	19627	982	38.201065	37.822781	0.378284	0.588691755	0.403274816	flip
case_068	128	128	24	24	39342	19801	30.131815	29.287735	0.844080	0.290876435	0.125063107	flip
case_069	128	128	17	17	6555	19195	30.815388	30.542408	0.272980	0.200251517	0.152413073	flip
case_070	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_071	128	128	124	124	10403	462	35.838539	35.504547	0.333992	0.377664478	0.270430256	flip
case_072	128	128	23	23	1124	666	32.081516	31.947542	0.133974	0.306234878	0.267836925	flip
case_073	128	128	48	48	712	8058	36.348530	36.343140	0.005390	0.495214768	0.492552658	flip
case_074	128	128	22	22	17588	3898	38.498596	38.436844	0.061752	0.509751676	0.479225557	flip
case_075	128	128	128	-1	-1	-1	0	0	0	0	0	equal
case_076	128	128	50	50	79814	345	30.864216	30.858513	0.005703	0.332213176	0.330323965	flip
case_077	128	128	111	111	9	76209	28.724377	27.848824	0.875553	0.687743000	0.286535401	flip
case_078	128	128	43	43	71	81	31.868425	31.855518	0.012907	0.317013367	0.312947959	flip
