mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	output_file
mma_strict	case_000	17	128	3.449556	37.106225	173	92	35	53.179	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_000.txt
mma_strict	case_001	18	128	3.686368	34.722524	221	83	45	37.557	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_001.txt
mma_strict	case_002	19	128	4.040122	31.682212	208	86	42	41.346	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_002.txt
mma_strict	case_003	19	128	3.919562	32.656710	230	81	47	35.217	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_003.txt
mma_strict	case_004	15	128	3.720534	34.403664	204	87	41	42.647	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_004.txt
mma_strict	case_005	14	128	3.274924	39.084876	174	93	35	53.448	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_005.txt
mma_strict	case_006	18	128	3.665110	34.923918	194	88	40	45.361	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_006.txt
mma_strict	case_007	14	128	3.774077	33.915577	212	85	43	40.094	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_007.txt
mma_strict	case_008	20	128	3.732682	34.291697	215	84	44	39.070	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_008.txt
mma_strict	case_009	17	128	3.840101	33.332457	200	87	41	43.500	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_009.txt
mma_strict	case_010	26	128	3.748587	34.146200	207	85	43	41.063	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_010.txt
mma_strict	case_011	21	128	3.232846	39.593596	159	96	32	60.377	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_011.txt
mma_strict	case_012	22	128	3.576667	35.787508	176	92	36	52.273	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_012.txt
mma_strict	case_013	22	128	4.125602	31.025775	220	83	45	37.727	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_013.txt
mma_strict	case_014	21	128	4.049244	31.610839	224	82	45	36.607	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_014.txt
mma_strict	case_015	22	128	3.703203	34.564673	192	89	39	46.354	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_015.txt
mma_strict	case_016	19	128	3.962897	32.299603	207	86	42	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_016.txt
mma_strict	case_017	26	128	3.449579	37.105977	195	88	40	45.128	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_017.txt
mma_strict	case_018	25	128	3.710812	34.493798	230	81	47	35.217	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_018.txt
mma_strict	case_019	19	128	4.202036	30.461424	225	82	45	36.444	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_019.txt
mma_strict	case_020	18	128	3.209586	39.880533	176	92	36	52.273	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_020.txt
mma_strict	case_021	18	128	2.846074	44.974235	132	100	27	75.758	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_021.txt
mma_strict	case_022	16	128	3.808924	33.605291	226	82	46	36.283	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_022.txt
mma_strict	case_023	14	128	3.936279	32.518020	186	90	38	48.387	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_023.txt
mma_strict	case_024	15	128	4.367166	29.309626	216	83	44	38.426	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_024.txt
mma_strict	case_025	20	128	3.247183	39.418782	171	92	35	53.801	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_025.txt
mma_strict	case_026	17	128	3.693095	34.659276	209	85	43	40.670	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_026.txt
mma_strict	case_027	14	128	3.718072	34.426445	206	86	42	41.748	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_027.txt
mma_strict	case_028	16	128	4.004231	31.966188	223	83	45	37.220	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_028.txt
mma_strict	case_029	18	128	3.818407	33.521833	207	86	42	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_029.txt
mma_strict	case_030	23	128	3.485239	36.726319	175	91	36	52.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_030.txt
