id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_000	24	128	24	128	3.435796806	0.143158200	1	23	37.106225	53.179	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_000.txt
case_001	24	128	24	128	3.302673475	0.137611395	1	24	34.722524	37.557	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_001.txt
case_002	24	128	24	128	6.798247640	0.283260318	0	0	31.682212	41.346	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_002.txt
case_003	24	128	24	128	6.004962154	0.250206756	1	8	32.656710	35.217	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_003.txt
case_004	24	128	24	128	6.279428208	0.261642842	1	14	34.403664	42.647	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_004.txt
case_005	24	128	24	128	3.547885352	0.147828556	1	9	39.084876	53.448	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_005.txt
case_006	24	128	24	128	5.885876516	0.245244855	1	2	34.923918	45.361	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_006.txt
case_007	24	128	24	128	5.834143410	0.243089309	0	0	33.915577	40.094	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_007.txt
case_008	24	128	24	128	3.579810778	0.149158782	1	12	34.291697	39.070	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_008.txt
case_009	24	128	24	128	2.993752135	0.124739672	1	11	33.332457	43.500	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_009.txt
case_010	24	128	24	128	1.633208129	0.068050339	1	9	34.146200	41.063	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_010.txt
case_011	24	128	24	128	2.947172341	0.122798848	1	24	39.593596	60.377	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_011.txt
case_012	24	128	24	128	2.623739986	0.109322499	1	10	35.787508	52.273	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_012.txt
case_013	24	128	24	128	2.481992357	0.103416348	0	0	31.025775	37.727	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_013.txt
case_014	24	128	24	128	4.166871596	0.173619650	0	0	31.610839	36.607	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_014.txt
case_015	24	128	24	128	1.500033793	0.062501408	1	18	34.564673	46.354	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_015.txt
case_016	24	128	24	128	2.977051761	0.124043823	1	2	32.299603	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_016.txt
case_017	24	128	24	128	6.167297179	0.256970716	0	0	37.105977	45.128	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_017.txt
case_018	24	128	24	128	1.706816016	0.071117334	1	17	34.493798	35.217	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_018.txt
case_019	24	128	24	128	5.815994270	0.242333095	1	13	30.461424	36.444	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_019.txt
case_020	24	128	24	128	3.347569961	0.139482082	1	10	39.880533	52.273	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_020.txt
case_021	24	128	24	128	0.673418839	0.028059118	1	24	44.974235	75.758	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_021.txt
case_022	24	128	24	128	4.661007699	0.194208654	1	2	33.605291	36.283	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_022.txt
case_023	24	128	24	128	2.422370072	0.100932086	0	0	32.518020	48.387	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_023.txt
case_024	24	128	24	128	10.606531422	0.441938809	0	0	29.309626	38.426	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_024.txt
case_025	24	128	24	128	3.011485577	0.125478566	1	14	39.418782	53.801	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_025.txt
case_026	24	128	24	128	5.188959508	0.216206646	1	19	34.659276	40.670	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_026.txt
case_027	24	128	24	128	6.891521527	0.287146730	1	7	34.426445	41.748	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_027.txt
case_028	24	128	24	128	3.803081504	0.158461729	1	2	31.966188	37.220	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_028.txt
case_029	24	128	24	128	6.913997293	0.288083221	0	0	33.521833	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_029.txt
case_030	24	128	24	128	1.731994629	0.072166443	0	0	36.726319	52.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_030.txt
case_031	24	128	24	128	0.861374907	0.035890621	1	24	45.497555	77.692	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_031.txt
case_032	24	128	24	128	1.338692117	0.055778838	0	0	37.070997	47.872	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_032.txt
case_033	24	128	24	128	2.832682042	0.118028418	0	0	32.706735	35.808	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_033.txt
case_034	24	128	24	128	3.044890978	0.126870457	1	17	39.683216	63.399	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_034.txt
case_035	24	128	24	128	2.838484467	0.118270186	1	21	36.000056	47.368	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_035.txt
case_036	24	128	24	128	2.928660378	0.122027516	1	5	35.634863	39.535	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_036.txt
case_037	24	128	24	128	3.635446180	0.151476924	0	0	28.898576	33.617	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_037.txt
case_038	24	128	24	128	2.999574883	0.124982287	1	18	32.717394	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_038.txt
case_039	24	128	24	128	5.679178937	0.236632456	0	0	32.014142	40.952	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_039.txt
case_040	24	128	24	128	4.648246061	0.193676919	1	9	29.187480	34.615	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_040.txt
case_041	24	128	24	128	4.865192368	0.202716349	1	3	29.160749	30.924	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_041.txt
case_042	24	128	24	128	5.080778158	0.211699090	1	1	34.863657	41.546	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_042.txt
case_043	24	128	24	128	1.788589305	0.074524554	1	20	50.708513	93.750	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_043.txt
case_044	24	128	24	128	4.390427206	0.182934467	0	0	36.616362	39.906	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_044.txt
case_045	24	128	24	128	8.577169139	0.357382047	1	3	31.053203	36.607	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_045.txt
case_046	24	128	24	128	3.930879774	0.163786657	0	0	32.172695	38.426	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_046.txt
case_047	24	128	24	128	6.228178994	0.259507458	0	0	32.911027	38.249	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_047.txt
case_048	24	128	24	128	2.935497398	0.122312392	1	15	32.507482	39.720	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_048.txt
case_049	24	128	24	128	7.118778901	0.296615788	1	2	33.212497	39.906	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_049.txt
case_050	24	128	24	128	4.925221720	0.205217572	1	11	30.051703	32.231	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_050.txt
case_051	24	128	24	128	0.989277509	0.041219896	1	8	34.369308	44.898	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_051.txt
case_052	24	128	24	128	5.007570601	0.208648775	0	0	33.273493	40.094	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_052.txt
case_053	24	128	24	128	2.372523251	0.098855135	1	24	39.801007	64.667	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_053.txt
case_054	24	128	24	128	4.393430192	0.183059591	0	0	32.741178	37.557	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_054.txt
case_055	24	128	24	128	6.001915729	0.250079822	1	10	32.143828	41.951	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_055.txt
case_056	24	128	24	128	7.123723106	0.296821796	0	0	33.138412	39.336	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_056.txt
case_057	24	128	24	128	6.297373680	0.262390570	0	0	30.971648	33.755	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_057.txt
case_058	24	128	24	128	2.972298696	0.123845779	1	4	36.729744	45.128	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_058.txt
case_059	24	128	24	128	2.887629529	0.120317897	0	0	31.402235	38.605	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_059.txt
case_060	24	128	24	128	0.315173819	0.013132242	1	24	46.086069	72.993	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_060.txt
case_061	24	128	24	128	5.229949144	0.217914548	0	0	34.269286	44.670	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_061.txt
case_062	24	128	24	128	1.600927018	0.066705292	1	14	39.546268	55.952	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_062.txt
case_063	24	128	24	128	4.345482346	0.181061764	1	3	42.902861	73.529	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_063.txt
case_064	24	128	24	128	5.248283343	0.218678473	1	3	36.038319	43.500	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_064.txt
case_065	24	128	24	128	4.436023829	0.184834326	1	18	34.380700	37.387	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_065.txt
case_066	24	128	24	128	7.531684580	0.313820191	0	0	35.008643	37.727	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_066.txt
case_067	24	128	24	128	4.593505237	0.191396052	1	15	33.857534	44.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_067.txt
case_068	24	128	24	128	9.937126339	0.414046931	1	3	33.414747	43.284	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_068.txt
case_069	24	128	24	128	5.686939201	0.236955800	1	1	39.665803	49.457	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_069.txt
case_070	24	128	24	128	1.000397975	0.041683249	1	23	37.131240	53.143	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_070.txt
case_071	24	128	24	128	2.634684945	0.109778539	1	2	35.491198	41.346	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_071.txt
case_072	24	128	24	128	3.260983831	0.135874326	0	0	32.654477	48.649	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_072.txt
case_073	24	128	24	128	5.269074369	0.219544765	1	6	37.866058	59.006	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_073.txt
case_074	24	128	24	128	1.792085178	0.074670216	0	0	33.738023	39.906	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_074.txt
case_075	24	128	24	128	2.890230967	0.120426290	1	6	34.761648	42.786	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_075.txt
case_076	24	128	24	128	1.863408202	0.077642008	0	0	31.837422	33.475	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_076.txt
case_077	24	128	24	128	2.709194545	0.112883106	1	12	30.865195	38.785	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_077.txt
case_078	24	128	24	128	6.332870796	0.263869616	0	0	30.966823	36.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_078.txt
case_079	24	128	24	128	3.445584947	0.143566039	1	4	31.646102	36.123	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_079.txt
case_080	24	16	16	16	6.314982083	0.394686380	1	5	30.919727	32.258	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_080.txt
case_081	24	128	24	128	6.081216526	0.253384022	1	14	38.177763	49.727	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_081.txt
case_082	24	128	24	128	3.917045753	0.163210240	0	0	36.192422	52.571	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_082.txt
case_083	17	26	17	26	2.586351089	0.152138299	0	0	37.186525	52.778	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_083.txt
case_084	11	21	11	21	2.081360744	0.189214613	0	0	41.058528	80.952	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_084.txt
case_085	24	116	24	116	3.870418663	0.161267444	1	11	31.713208	42.473	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_085.txt
case_086	24	128	24	128	6.153051124	0.256377130	1	10	32.348809	34.043	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_086.txt
case_087	24	128	24	128	7.486809513	0.311950396	1	3	33.530096	44.670	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_087.txt
case_088	24	128	24	128	5.341651701	0.222568821	0	0	33.027025	35.683	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_088.txt
case_089	24	128	24	128	4.338169998	0.180757083	1	3	34.297541	42.647	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_089.txt
case_090	24	128	24	128	4.331473534	0.180478064	0	0	33.326842	35.808	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_090.txt
case_091	24	128	24	128	5.490243779	0.228760157	0	0	35.591879	50.838	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_091.txt
case_092	24	128	24	128	1.334912805	0.055621367	1	16	38.042149	56.024	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_092.txt
case_093	24	128	24	128	4.221030521	0.175876272	0	0	35.746182	45.876	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_093.txt
case_094	1	7	1	7	0.074605606	0.074605606	0	0	35.920462	85.714	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_094.txt
case_095	13	13	13	13	0.205790978	0.015830075	1	13	42.726054	91.667	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_095.txt
case_096	6	11	6	11	0.426862435	0.071143739	0	0	41.252578	60.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_096.txt
case_097	11	10	10	10	0.092955994	0.009295599	1	8	46.341565	100.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_097.txt
case_098	8	8	8	8	0.195447308	0.024430913	1	8	34.331080	50.000	bench-results/loop55_mma_quality_144348/mma_strict/outputs/case_098.txt
