ctx,backend,prefill_tokens,total_ms,total_tps,resume_tps
2048,gpu_int8,1952,31858,61.3,52.4
2048,nax_int8,1952,30727,63.5,53.4
2048,nax_half,1952,32846,59.4,51.5
2048,nax_alu,1952,30136,64.8,54.8
4096,gpu_int8,3790,48593,78.0,82.8
4096,nax_int8,3790,44591,85.0,91.7
4096,nax_half,3790,50130,75.6,79.3
4096,nax_alu,3790,46734,81.1,86.7
6144,gpu_int8,5572,65110,85.6,92.2
6144,nax_int8,5572,60917,91.5,100.8
6144,nax_half,5572,71088,78.4,83.8
6144,nax_alu,5572,66083,84.3,91.2
8192,gpu_int8,7206,84470,85.3,90.8
8192,nax_int8,7206,75577,95.3,104.0
8192,nax_half,7206,87782,82.1,86.9
8192,nax_alu,7206,79060,91.1,98.6
16384,gpu_int8,14172,211590,67.0,67.3
16384,nax_int8,14172,145895,97.1,101.6
16384,nax_half,14172,196723,72.0,72.7
16384,nax_alu,14172,154169,91.9,95.4
32768,gpu_int8,28106,447630,62.8,62.7
32768,nax_int8,28106,352002,79.8,80.2
32768,nax_half,28106,432881,64.9,65.0
32768,nax_alu,28106,386507,72.7,73.1
