ctx,chunk,variant,prefill_tps,status,log
2048,2048,alu,358.8,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_2048_alu.log
2048,2048,nax_int8,163.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_2048_nax_int8.log
2048,2048,nax_half,199.3,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_2048_nax_half.log
2048,2048,ane_k1,159.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_2048_ane_k1.log
2048,2048,alunax_ane_k1,194.5,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_2048_alunax_ane_k1.log
4096,4096,alu,374.0,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_4096_alu.log
4096,4096,nax_int8,241.3,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_4096_nax_int8.log
4096,4096,nax_half,284.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_4096_nax_half.log
4096,4096,ane_k1,237.6,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_4096_ane_k1.log
4096,4096,alunax_ane_k1,277.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_4096_alunax_ane_k1.log
8192,8192,alu,536.5,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_8192_alu.log
8192,8192,nax_int8,448.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_8192_nax_int8.log
8192,8192,nax_half,454.1,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_8192_nax_half.log
8192,8192,ane_k1,438.5,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_8192_ane_k1.log
8192,8192,alunax_ane_k1,443.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_8192_alunax_ane_k1.log
16384,16384,alu,501.0,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_16384_alu.log
16384,16384,nax_int8,467.0,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_16384_nax_int8.log
16384,16384,nax_half,469.1,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_16384_nax_half.log
16384,16384,ane_k1,463.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_16384_ane_k1.log
16384,16384,alunax_ane_k1,462.5,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_16384_alunax_ane_k1.log
32768,16384,alu,482.0,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_32768_alu.log
32768,16384,nax_int8,453.8,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_32768_nax_int8.log
32768,16384,nax_half,453.0,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_32768_nax_half.log
32768,16384,ane_k1,449.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_32768_ane_k1.log
32768,16384,alunax_ane_k1,448.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_backend_sweep_20260528_232238_32768_alunax_ane_k1.log
