ctx,chunk,variant,prefill_tps,status,log
2048,2048,pure_alu_dense_simd,296.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_2048_pure_alu_dense_simd.log
2048,2048,default_dense_i8,353.6,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_2048_default_dense_i8.log
2048,2048,nax_half_dense_i8,199.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_2048_nax_half_dense_i8.log
4096,4096,pure_alu_dense_simd,306.8,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_4096_pure_alu_dense_simd.log
4096,4096,default_dense_i8,368.8,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_4096_default_dense_i8.log
4096,4096,nax_half_dense_i8,283.8,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_4096_nax_half_dense_i8.log
8192,8192,pure_alu_dense_simd,412.9,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_8192_pure_alu_dense_simd.log
8192,8192,default_dense_i8,549.6,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_8192_default_dense_i8.log
8192,8192,nax_half_dense_i8,461.7,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_8192_nax_half_dense_i8.log
16384,16384,pure_alu_dense_simd,401.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_16384_pure_alu_dense_simd.log
16384,16384,default_dense_i8,514.2,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_16384_default_dense_i8.log
16384,16384,nax_half_dense_i8,470.7,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_16384_nax_half_dense_i8.log
32768,16384,pure_alu_dense_simd,376.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_32768_pure_alu_dense_simd.log
32768,16384,default_dense_i8,499.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_32768_default_dense_i8.log
32768,16384,nax_half_dense_i8,469.1,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_denseproj_overlay_20260528_234332_32768_nax_half_dense_i8.log
