mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,128,2048,16384,0,1,ok,46.50,5796,3381.430,663.776,9671.45,,,,,,,,,,,,,44.457,404.302,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_128_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_128_c16384_r1.summary.txt
ane,128,2048,16384,32,1,ok,47.23,5786,1370.641,650.277,19325.62,90,90,90,,,5004,21.72%,181.628,181.628,0.526,68.692,0.524,3.045,365.949,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr32_r1.summary.txt
ane,128,2048,16384,64,1,ok,46.27,5820,1400.553,645.924,19196.40,22,22,22,,,1916,34.02%,51.749,51.749,0.188,18.459,0.191,3.658,520.331,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr64_r1.summary.txt
ane,128,2048,16384,128,1,ok,44.25,5796,1228.767,639.838,20937.01,,,,,,,,,,,,,1.394,430.626,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr128_r1.summary.txt
ane,128,2048,16384,256,1,ok,47.32,5796,1195.274,636.514,21357.82,,,,,,,,,,,,,0.000,358.128,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr256_r1.summary.txt
ane,128,2048,16384,512,1,ok,48.55,5796,1157.331,628.725,21904.69,,,,,,,,,,,,,2.121,331.708,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_128_c16384_mr512_r1.summary.txt
gpu,256,2048,16384,0,1,ok,79.74,6739,1670.772,756.820,18738.01,,,,,,,,,,,,,1.702,344.110,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_256_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_256_c16384_r1.summary.txt
ane,256,2048,16384,32,1,ok,75.63,6607,1409.182,738.558,20764.73,191,191,191,,,14872,30.42%,362.133,362.133,0.856,129.864,0.892,8.819,358.149,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr32_r1.summary.txt
ane,256,2048,16384,64,1,ok,74.07,6742,1439.068,748.039,20807.62,89,89,89,,,9872,43.33%,184.899,184.899,0.528,63.909,0.525,9.255,372.742,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr64_r1.summary.txt
ane,256,2048,16384,128,1,ok,73.56,6714,1486.488,736.921,20382.89,27,27,27,,,4257,61.59%,66.248,66.248,0.185,20.230,0.164,10.888,351.226,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr128_r1.summary.txt
ane,256,2048,16384,256,1,ok,71.55,6740,1419.979,727.184,21188.42,,,,,,,,,,,,,0.624,358.656,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr256_r1.summary.txt
ane,256,2048,16384,512,1,ok,74.93,6740,1292.566,725.075,22548.61,,,,,,,,,,,,,0.000,341.175,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_256_c16384_mr512_r1.summary.txt
gpu,1k,3072,16384,0,1,ok,172.81,9557,2521.193,1057.168,18027.74,,,,,,,,,,,,,0.295,853.846,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_1k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_gpu_1k_c16384_r1.summary.txt
ane,1k,3072,16384,32,1,ok,184.48,9030,2603.086,1077.359,16561.18,965,965,1139,,,126685,43.45%,2648.497,2648.497,56.252,597.770,3.645,9.362,863.079,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr32_r1.summary.txt
ane,1k,3072,16384,64,1,ok,183.84,9164,2609.030,1061.852,16850.72,520,520,686,,,104733,59.64%,1841.445,1841.445,29.592,331.073,2.100,18.120,881.412,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr64_r1.summary.txt
ane,1k,3072,16384,128,1,ok,171.67,9246,2914.595,1073.972,15647.35,285,285,444,,,82739,72.79%,1339.410,1339.410,23.318,189.843,1.240,12.952,890.349,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr128_r1.summary.txt
ane,1k,3072,16384,256,1,ok,177.22,9432,2661.861,1089.235,16972.64,123,123,273,,,50843,72.75%,702.814,702.814,0.655,85.584,0.732,6.013,940.620,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segA/sweep_ane_1k_c16384_mr256_r1.summary.txt
