mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,8k,10000,1024,0,1,ok,146.46,82022,16902.454,9036.455,21344.32,,,,,,,,,,,,,35.860,9145.156,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c1024_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c1024_r1.summary.txt
ane,8k,10000,1024,32,1,ok,163.93,75459,16627.583,8627.509,20168.14,8591,8591,9259,,,849299,35.83%,18527.329,18527.329,187.481,5190.076,31.549,24.750,9067.213,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr32_r1.summary.txt
ane,8k,10000,1024,64,1,ok,167.13,78078,15112.704,8767.328,22069.76,4239,4239,4795,,,619293,50.45%,10294.416,10294.416,135.913,2657.125,15.988,29.393,8554.653,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr64_r1.summary.txt
ane,8k,10000,1024,128,1,ok,164.02,79508,15129.348,8819.230,22409.64,1491,1491,2011,,,360328,69.99%,5042.310,5042.310,50.818,949.671,5.951,32.632,8505.646,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr128_r1.summary.txt
ane,8k,10000,1024,256,1,ok,160.16,81884,15334.028,8940.030,22769.86,408,408,917,,,169851,72.35%,2047.005,2047.005,3.346,285.238,2.202,35.369,8113.256,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr256_r1.summary.txt
ane,8k,10000,1024,512,1,ok,160.26,81924,14718.526,8810.337,23502.50,81,81,263,,,54483,80.92%,561.012,561.012,0.669,63.715,0.529,9.327,8153.076,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c1024_mr512_r1.summary.txt
gpu,8k,10000,2048,0,1,ok,204.29,46638,8960.452,5108.154,22376.52,,,,,,,,,,,,,0.663,7902.349,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c2048_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c2048_r1.summary.txt
ane,8k,10000,2048,32,1,ok,242.41,42356,8942.251,5053.930,20427.22,8121,8121,9703,,,1147132,46.18%,23900.573,23900.573,864.288,5015.257,29.565,17.121,8424.871,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr32_r1.summary.txt
ane,8k,10000,2048,64,1,ok,242.37,42659,8850.277,4987.493,20808.86,5113,5113,6673,,,999025,58.48%,18730.588,18730.588,791.704,3206.293,19.274,18.258,8510.129,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr64_r1.summary.txt
ane,8k,10000,2048,128,1,ok,234.71,44008,9027.344,5045.161,21108.82,2536,2536,3964,,,733219,72.25%,13201.450,13201.450,674.108,1633.929,10.511,19.040,8296.753,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr128_r1.summary.txt
