mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,8k,10000,1024,0,1,ok,135.57,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c1024_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c1024_r1.summary.txt
ane,8k,10000,1024,32,1,ok,183.30,,,,,18118,18118,19245,,,1636507,33.22%,117727.486,117727.486,22411.369,32095.112,66.100,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr32_r1.summary.txt
ane,8k,10000,1024,64,1,ok,214.57,,,,,8173,8173,9145,,,1172183,50.07%,50585.133,50585.133,10273.250,16004.460,33.035,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr64_r1.summary.txt
ane,8k,10000,1024,128,1,ok,226.75,,,,,2815,2815,3524,,,614149,68.08%,16636.031,16636.031,3586.070,6165.192,7.982,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr128_r1.summary.txt
ane,8k,10000,1024,256,1,ok,216.97,,,,,485,485,1064,,,191388,70.26%,2727.673,2727.673,829.760,536.085,2.652,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr256_r1.summary.txt
ane,8k,10000,1024,512,1,ok,210.03,,,,,78,78,254,,,52326,80.47%,465.966,465.966,258.646,70.375,0.724,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c1024_mr512_r1.summary.txt
gpu,8k,10000,2048,0,1,ok,210.53,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c2048_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c2048_r1.summary.txt
ane,8k,10000,2048,32,1,ok,223.91,,,,,15699,15699,17554,,,1785028,39.72%,105230.035,105230.035,20745.780,29565.498,70.042,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr32_r1.summary.txt
ane,8k,10000,2048,64,1,ok,255.67,,,,,8937,8937,10807,,,1489362,53.83%,62366.182,62366.182,12751.084,18199.153,40.275,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr64_r1.summary.txt
ane,8k,10000,2048,128,1,ok,278.43,,,,,3961,3961,5701,,,1028522,70.47%,31216.799,31216.799,6699.765,9277.829,16.974,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr128_r1.summary.txt
ane,8k,10000,2048,256,1,ok,288.80,,,,,1184,1184,2609,,,475108,71.13%,14902.436,14902.436,2745.088,3018.455,4.325,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr256_r1.summary.txt
ane,8k,10000,2048,512,1,ok,277.73,,,,,176,176,571,,,120877,82.69%,1390.730,1390.730,487.046,247.822,1.478,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr512_r1.summary.txt
gpu,8k,10000,4096,0,1,ok,291.26,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c4096_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c4096_r1.summary.txt
ane,8k,10000,4096,32,1,ok,274.48,,,,,10550,10550,12891,,,1661824,50.36%,74692.763,74692.763,15370.482,21278.606,51.013,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr32_r1.summary.txt
