mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,128,2048,16384,0,1,ok,32.39,5799,7481.902,668.232,4802.77,,,,,,,,,,,,,220.311,432.507,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_gpu_128_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_gpu_128_c16384_r1.summary.txt
ane,128,2048,16384,32,1,ok,46.13,5752,2458.349,713.084,12242.42,86,86,86,,,4907,22.29%,166.606,166.606,0.499,78.299,0.459,11.234,343.013,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr32_r1.summary.txt
ane,128,2048,16384,64,1,ok,46.50,5820,1463.519,665.414,18452.91,22,22,22,,,1916,34.02%,47.842,47.842,0.180,20.203,0.145,1.945,363.182,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr64_r1.summary.txt
ane,128,2048,16384,128,1,ok,47.23,5796,1186.397,640.255,21417.87,,,,,,,,,,,,,5.344,343.082,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr128_r1.summary.txt
ane,128,2048,16384,256,1,ok,47.71,5796,950.213,633.183,24708.29,,,,,,,,,,,,,1.240,335.745,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr256_r1.summary.txt
ane,128,2048,16384,512,1,ok,47.29,5796,950.059,631.002,24744.78,,,,,,,,,,,,,0.613,347.792,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_128_c16384_mr512_r1.summary.txt
gpu,256,2048,16384,0,1,ok,77.15,6754,2167.341,768.273,15529.80,,,,,,,,,,,,,4.322,364.419,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_gpu_256_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_gpu_256_c16384_r1.summary.txt
ane,256,2048,16384,32,1,ok,75.76,6520,1362.800,742.674,20902.66,191,191,191,,,15244,31.18%,355.112,355.112,0.930,124.244,0.905,1.145,329.758,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr32_r1.summary.txt
ane,256,2048,16384,64,1,ok,73.35,6678,1259.092,752.477,22408.63,89,89,89,,,10064,44.17%,179.022,179.022,0.542,61.769,0.535,3.286,343.445,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr64_r1.summary.txt
ane,256,2048,16384,128,1,ok,73.91,6706,1204.774,742.533,23245.18,27,27,27,,,4260,61.63%,63.249,63.249,0.228,19.571,0.172,4.709,334.739,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99A/sweep_ane_256_c16384_mr128_r1.summary.txt
