mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,8k,10000,1024,0,1,ok,151.22,82079,14912.266,9039.004,23131.69,,,,,,,,,,,,,5.053,8657.389,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c1024_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c1024_r1.summary.txt
ane,8k,10000,1024,32,1,ok,172.52,75119,12862.026,8567.722,23661.19,8598,8598,9257,,,851333,35.92%,18349.845,18349.845,150.982,5225.300,31.282,13.366,8472.124,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr32_r1.summary.txt
ane,8k,10000,1024,64,1,ok,167.13,78183,13304.425,8763.521,23914.11,4221,4221,4788,,,619138,50.51%,10309.787,10309.787,120.954,2638.296,15.686,19.354,8448.245,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr64_r1.summary.txt
ane,8k,10000,1024,128,1,ok,163.86,79761,13553.092,8822.947,24060.86,1511,1511,2031,,,360627,69.36%,5025.364,5025.364,36.215,955.071,5.831,23.460,8482.206,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr128_r1.summary.txt
ane,8k,10000,1024,256,1,ok,159.51,81699,13725.486,8990.667,24276.48,417,417,933,,,170779,71.50%,2073.237,2073.237,3.547,288.352,2.302,16.236,8017.642,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr256_r1.summary.txt
ane,8k,10000,1024,512,1,ok,158.52,81943,13564.270,8916.581,24603.84,81,81,263,,,54353,80.73%,558.660,558.660,0.696,62.463,0.451,20.329,8313.524,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c1024_mr512_r1.summary.txt
gpu,8k,10000,2048,0,1,ok,203.94,46621,7817.277,5103.925,24354.68,,,,,,,,,,,,,0.564,8051.484,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c2048_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c2048_r1.summary.txt
ane,8k,10000,2048,32,1,ok,240.83,42752,7695.106,5091.986,22567.76,8192,8192,9753,,,1141556,45.72%,23783.307,23783.307,856.743,5031.256,29.858,13.127,8244.725,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr32_r1.summary.txt
ane,8k,10000,2048,64,1,ok,241.56,42795,7547.838,4992.850,23034.32,5106,5106,6677,,,1002264,58.64%,18646.941,18646.941,812.745,3184.726,19.397,17.390,8463.173,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr64_r1.summary.txt
ane,8k,10000,2048,128,1,ok,234.19,43990,7839.968,5059.730,23018.56,2538,2538,3950,,,733461,72.53%,13065.980,13065.980,674.216,1625.531,10.426,18.544,7802.930,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr128_r1.summary.txt
