mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,10k,12000,16384,0,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_gpu_10k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_gpu_10k_c16384_r1.summary.txt
ane,10k,12000,16384,32,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr32_r1.summary.txt
ane,10k,12000,16384,64,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr64_r1.summary.txt
ane,10k,12000,16384,128,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr128_r1.summary.txt
ane,10k,12000,16384,256,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr256_r1.summary.txt
ane,10k,12000,16384,512,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_10k_c16384_mr512_r1.summary.txt
gpu,12k,14336,16384,0,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_gpu_12k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_gpu_12k_c16384_r1.summary.txt
ane,12k,14336,16384,32,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr32_r1.summary.txt
ane,12k,14336,16384,64,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr64_r1.summary.txt
ane,12k,14336,16384,128,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr128_r1.summary.txt
ane,12k,14336,16384,256,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr256_r1.summary.txt
ane,12k,14336,16384,512,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_resMid/sweep_ane_12k_c16384_mr512_r1.summary.txt
