mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,10k,12000,16384,0,1,ok,317.33,20125,5707.721,2178.883,17224.62,,,,,,,,,,,,,3.109,13055.182,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_gpu_10k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_gpu_10k_c16384_r1.summary.txt
ane,10k,12000,16384,32,1,ok,337.00,18425,4289.990,2411.246,18559.08,6037,6037,10939,,,1936422,69.15%,44984.287,44984.287,4119.761,3940.368,24.922,2.689,13014.330,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr32_r1.summary.txt
ane,10k,12000,16384,64,1,ok,341.37,18513,4312.389,2386.051,18655.50,4926,4926,9840,,,1881614,74.70%,41349.742,41349.742,3736.375,3271.481,21.436,10.911,13175.397,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr64_r1.summary.txt
ane,10k,12000,16384,128,1,ok,338.75,18736,4311.484,2329.546,19043.43,3648,3648,8478,,,1746643,80.48%,38495.054,38495.054,3631.060,2502.531,16.420,7.200,12794.156,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr128_r1.summary.txt
ane,10k,12000,16384,256,1,ok,333.74,18968,4330.946,2281.806,19361.68,2140,2140,6882,,,1446323,82.09%,33858.968,33858.968,3110.788,1550.683,10.678,16.698,12849.592,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr256_r1.summary.txt
ane,10k,12000,16384,512,1,ok,327.47,19311,4370.185,2242.047,19713.35,943,943,4527,,,1022014,88.19%,22307.332,22307.332,2254.575,775.635,5.665,11.807,12763.506,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_10k_c16384_mr512_r1.summary.txt
gpu,12k,14336,16384,0,1,ok,323.11,20408,4491.759,2211.434,20550.50,,,,,,,,,,,,,5.110,15861.462,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_gpu_12k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_gpu_12k_c16384_r1.summary.txt
ane,12k,14336,16384,32,1,ok,345.39,18481,4545.905,2517.983,17659.79,6920,6920,13030,,,2369739,71.04%,54254.341,54254.341,5031.994,4561.188,29.794,2.200,15666.419,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr32_r1.summary.txt
ane,12k,14336,16384,64,1,ok,349.94,18426,4459.444,2445.552,18012.39,5917,5917,12067,,,2326219,75.30%,51860.851,51860.851,4740.212,3947.308,25.068,4.284,16101.001,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr64_r1.summary.txt
ane,12k,14336,16384,128,1,ok,346.21,18946,4638.225,2427.414,18099.64,4564,4564,10417,,,2138263,80.18%,47060.563,47060.563,4411.735,3117.452,20.301,10.767,15916.350,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr128_r1.summary.txt
ane,12k,14336,16384,256,1,ok,341.30,19009,4472.719,2335.803,18845.61,2655,2655,8543,,,1797810,82.20%,41544.886,41544.886,3917.599,1939.338,13.218,4.674,15894.207,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr256_r1.summary.txt
ane,12k,14336,16384,512,1,ok,334.46,19641,4557.074,2289.982,19362.59,1169,1169,5233,,,1177332,87.88%,24353.738,24353.738,2324.894,955.648,6.003,11.878,15205.655,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_173317_strMid/sweep_ane_12k_c16384_mr512_r1.summary.txt
